size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.786294,0.842404,0.741742,0.689871,0.032459,0.037038,0.039014,0.02853,143535,144200,143360,143360,100
10000,10000,0,1,0.521597,0.546005,0.492352,0.514166,0.034197,0.032297,0.03353,0.041213,299372,158380,299008,299008,50
10000,10000,1,0,0.839856,0.902824,0.818855,0.737632,0.034688,0.04202,0.029264,0.031555,143528,144200,143360,143360,100
10000,10000,1,1,0.494841,0.653072,0.502016,0.550851,0.035375,0.031649,0.037638,0.034312,299360,11936,584,299008,50
10000,10000,2,0,0.968062,0.91306,0.914575,0.802739,0.036566,0.04264,0.035384,0.034284,143535,144200,143360,143360,100
10000,10000,2,1,0.586661,0.661552,0.511552,0.503624,0.039964,0.033376,0.035006,0.040875,299361,155144,299008,299008,50
10000,10000,0,0,0.886803,1.05247,0.902974,0.839767,0.040485,0.044169,0.038757,0.046922,143535,144200,143360,143360,100
10000,10000,0,1,0.585598,0.586154,0.653024,0.51262,0.046022,0.048243,0.045424,0.038853,299362,158268,299008,299008,50
10000,10000,1,0,0.916219,1.01151,0.867545,0.84587,0.038895,0.039776,0.032814,0.034917,143534,144200,143360,143360,100
10000,10000,1,1,0.577682,0.623088,0.543671,0.546492,0.038586,0.046456,0.035844,0.035442,299370,11936,584,299008,50
10000,10000,2,0,0.945441,1.13071,0.926761,0.953942,0.05286,0.041237,0.039635,0.05064,143535,144200,143360,143360,100
10000,10000,2,1,0.703547,0.745819,0.563949,0.550475,0.048183,0.038928,0.039189,0.040436,299369,155304,299008,299008,50
11250,10000,0,0,1.00883,1.14085,0.951433,0.896674,0.087804,0.097354,0.078293,0.077304,233735,234840,233472,233472,100
11250,10000,0,0,0.576193,0.617142,0.639876,0.518847,0.095356,0.099217,0.084882,0.07997,307575,309000,307200,307200,50
11250,10000,0,1,1.02426,1.16484,0.900655,0.893284,0.093937,0.078806,0.087241,0.091227,233748,123152,233472,233472,100
11250,10000,0,1,0.718776,0.620424,0.598762,0.576017,0.087453,0.08083,0.088571,0.076545,307565,162700,307200,307200,50
11250,10000,1,0,1.06743,1.32861,1.00551,1.07911,0.100918,0.080819,0.072377,0.073288,233770,234840,233472,233472,100
11250,10000,1,0,0.523065,0.668725,0.573625,0.537117,0.081356,0.083414,0.072234,0.090987,307551,309000,307200,307200,50
11250,10000,1,1,1.00012,1.05895,1.237,0.876453,0.088834,0.078225,0.077896,0.079638,233754,9312,456,233472,100
11250,10000,1,1,0.513627,0.723913,0.614698,0.54697,0.083465,0.078619,0.079334,0.087759,307562,12264,600,307200,50
11250,10000,2,0,1.01538,1.09504,0.918103,1.0655,0.087827,0.087455,0.085792,0.085674,233744,234840,233472,233472,100
11250,10000,2,0,0.610692,0.761603,0.579224,0.494814,0.086705,0.096669,0.078044,0.089526,307575,309000,307200,307200,50
11250,10000,2,1,0.99113,1.15946,0.956406,0.986654,0.093432,0.075924,0.085829,0.085245,233748,120508,233472,233472,100
11250,10000,2,1,0.740447,0.770172,0.590668,0.540749,0.09698,0.079663,0.075611,0.08022,307563,159552,307200,307200,50
12656,10000,0,0,1.0628,1.45362,1.05221,1.00711,0.099975,0.086141,0.080932,0.098172,246060,247200,245760,245760,100
12656,10000,0,0,0.747464,0.831709,0.551931,0.550589,0.100193,0.090263,0.091408,0.092032,336247,337840,335872,335872,50
12656,10000,0,1,1.26235,1.28401,0.993953,0.949667,0.083442,0.083008,0.097678,0.103803,246044,129820,245760,245760,100
12656,10000,0,1,0.573747,0.755836,0.551489,0.556056,0.094514,0.102491,0.081519,0.093781,336264,178024,335872,335872,50
12656,10000,1,0,1.01629,1.43195,1.01326,1.09277,0.097808,0.094591,0.077924,0.08518,246073,247200,245760,245760,100
12656,10000,1,0,0.657697,0.692923,0.616579,0.5381,0.092507,0.083474,0.075898,0.084325,336236,337840,335872,335872,50
12656,10000,1,1,1.19299,1.34207,1.05096,1.00091,0.091682,0.086719,0.085917,0.089567,246026,9804,480,245760,100
12656,10000,1,1,0.628721,0.685683,0.649419,0.644819,0.094231,0.072483,0.074134,0.077284,336212,13412,656,335872,50
12656,10000,2,0,1.12908,1.35036,1.05645,1.03973,0.079961,0.098204,0.083521,0.090328,246040,247200,245760,245760,100
12656,10000,2,0,0.580388,0.777659,0.645418,0.587179,0.087009,0.103792,0.082551,0.081215,336272,337840,335872,335872,50
12656,10000,2,1,1.06796,1.42809,1.00579,1.02988,0.088472,0.086094,0.076758,0.088602,246058,127180,245760,245760,100
12656,10000,2,1,0.649067,0.683244,0.636731,0.620685,0.103125,0.079025,0.09124,0.075031,336248,174888,335872,335872,50
