size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
10000,10000,0,0,0.04549,0.045506,0.045517,0.045554,0.045514,0.04564,0.007592,0.007581,0.007569,0.007554,0.007627,0.007535,0,0,0,0,0,0,100
10000,10000,0,1,0.028485,0.028472,0.028479,0.028456,0.028457,0.028472,0.007391,0.007347,0.007381,0.007452,0.007338,0.007336,0,0,0,0,0,0,50
10000,10000,1,0,0.046264,0.046254,0.046245,0.046252,0.046259,0.046273,0.00678,0.0069,0.006869,0.006812,0.006806,0.00681,0,0,0,0,0,0,100
10000,10000,1,1,0.029013,0.028981,0.028991,0.028996,0.028985,0.028984,0.005351,0.005401,0.005417,0.005387,0.005362,0.005394,0,0,0,0,0,0,50
10000,10000,2,0,0.045922,0.045923,0.045917,0.045929,0.045949,0.045919,0.007571,0.007586,0.00758,0.007574,0.007552,0.007545,0,0,0,0,0,0,100
10000,10000,2,1,0.028541,0.028543,0.028546,0.028571,0.02854,0.028543,0.007366,0.007342,0.007365,0.007547,0.007424,0.007301,0,0,0,0,0,0,50
10000,10000,0,0,0.045627,0.045646,0.045601,0.045602,0.045602,0.045625,0.007555,0.007555,0.007587,0.00757,0.007598,0.007563,0,0,0,0,0,0,100
10000,10000,0,1,0.028711,0.028718,0.028729,0.02872,0.028734,0.028729,0.007348,0.007358,0.007465,0.007347,0.007352,0.007335,0,0,0,0,0,0,50
10000,10000,1,0,0.046402,0.04643,0.046396,0.046387,0.046391,0.046373,0.006853,0.006787,0.006808,0.00678,0.006864,0.00673,0,0,0,0,0,0,100
10000,10000,1,1,0.028304,0.028319,0.028284,0.028292,0.028293,0.028297,0.005763,0.00541,0.005423,0.005431,0.0054,0.005355,0,0,0,0,0,0,50
10000,10000,2,0,0.045701,0.045714,0.045688,0.045687,0.045682,0.045695,0.007607,0.007563,0.007555,0.007575,0.007596,0.007586,0,0,0,0,0,0,100
10000,10000,2,1,0.029082,0.029093,0.029083,0.029085,0.029087,0.029078,0.007348,0.007332,0.007337,0.007357,0.007339,0.007343,0,0,0,0,0,0,50
11250,10000,0,0,0.051465,0.051455,0.051673,0.053282,0.052374,0.051444,0.008471,0.008485,0.0095,0.010753,0.008579,0.00854,0,0,0,0,0,0,100
11250,10000,0,0,0.031559,0.031421,0.031504,0.031438,0.031487,0.031421,0.008472,0.008582,0.008493,0.008529,0.008481,0.00848,0,0,0,0,0,0,50
11250,10000,0,1,0.051865,0.051873,0.051865,0.051877,0.051853,0.051867,0.008274,0.008283,0.008261,0.008264,0.008319,0.00822,0,0,0,0,0,0,100
11250,10000,0,1,0.031697,0.031798,0.031686,0.031702,0.031724,0.031702,0.00829,0.008288,0.008267,0.008288,0.008269,0.008272,0,0,0,0,0,0,50
11250,10000,1,0,0.052137,0.052208,0.052159,0.052173,0.05214,0.052179,0.007633,0.007602,0.007762,0.007717,0.007634,0.007717,0,0,0,0,0,0,100
11250,10000,1,0,0.031742,0.031723,0.031745,0.031732,0.031732,0.031762,0.007649,0.007665,0.007644,0.007611,0.007661,0.007613,0,0,0,0,0,0,50
11250,10000,1,1,0.05155,0.051543,0.051557,0.051632,0.051536,0.051558,0.006056,0.006062,0.006225,0.006047,0.006111,0.006046,0,0,0,0,0,0,100
11250,10000,1,1,0.031824,0.031847,0.031839,0.03184,0.03182,0.031849,0.006088,0.006074,0.006047,0.006145,0.00606,0.00604,0,0,0,0,0,0,50
11250,10000,2,0,0.051736,0.051728,0.051781,0.051802,0.051786,0.051741,0.008502,0.008496,0.008514,0.00848,0.008476,0.008504,0,0,0,0,0,0,100
11250,10000,2,0,0.031951,0.03194,0.031948,0.031933,0.031996,0.031933,0.008543,0.008488,0.008471,0.008504,0.008483,0.008514,0,0,0,0,0,0,50
11250,10000,2,1,0.051427,0.051467,0.051405,0.051442,0.051393,0.051433,0.008253,0.008268,0.008241,0.008282,0.008395,0.008234,0,0,0,0,0,0,100
11250,10000,2,1,0.031066,0.031067,0.03105,0.031064,0.031069,0.031059,0.008242,0.00827,0.00828,0.008264,0.008246,0.008288,0,0,0,0,0,0,50
12656,10000,0,0,0.057803,0.057792,0.057796,0.057828,0.057812,0.057866,0.009635,0.009516,0.009549,0.009553,0.009593,0.009516,0,0,0,0,0,0,100
12656,10000,0,0,0.034668,0.034703,0.03468,0.034684,0.034688,0.034664,0.009532,0.009503,0.00952,0.009547,0.009518,0.00954,0,0,0,0,0,0,50
12656,10000,0,1,0.058665,0.058597,0.058619,0.058864,0.058621,0.058602,0.009296,0.009302,0.009276,0.009281,0.009314,0.00939,0,0,0,0,0,0,100
12656,10000,0,1,0.035713,0.035678,0.0357,0.035683,0.035693,0.035693,0.009375,0.009286,0.009804,0.0093,0.009276,0.009258,0,0,0,0,0,0,50
12656,10000,1,0,0.05833,0.058381,0.058357,0.0584,0.058337,0.058343,0.008623,0.008616,0.008602,0.008587,0.008619,0.008592,0,0,0,0,0,0,100
12656,10000,1,0,0.035054,0.035072,0.035074,0.035065,0.035774,0.035025,0.008577,0.008599,0.008597,0.008586,0.008674,0.008673,0,0,0,0,0,0,50
12656,10000,1,1,0.058436,0.058395,0.058384,0.058405,0.058378,0.058401,0.006792,0.006768,0.006786,0.006773,0.007017,0.00688,0,0,0,0,0,0,100
