size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.045478,0.045427,0.045516,0.045422,0.045428,0.045565,0.007579,0.007621,0.007544,0.007696,0.00756,0.007594,0,0,0,0,0,0,100
10000,10000,0,1,0.028538,0.028526,0.028519,0.028567,0.028516,0.028535,0.007376,0.007358,0.007415,0.007404,0.007419,0.00736,0,0,0,0,0,0,50
10000,10000,1,0,0.045847,0.045839,0.045834,0.045853,0.045863,0.045861,0.007296,0.006817,0.006769,0.006925,0.006812,0.007099,0,0,0,0,0,0,100
10000,10000,1,1,0.029075,0.029066,0.02907,0.02907,0.029064,0.029075,0.005386,0.005394,0.005376,0.005455,0.005415,0.005379,0,0,0,0,0,0,50
10000,10000,2,0,0.045864,0.045836,0.045773,0.045826,0.045788,0.045787,0.007604,0.007561,0.00755,0.007556,0.007579,0.007565,0,0,0,0,0,0,100
10000,10000,2,1,0.028527,0.02852,0.028513,0.028493,0.028517,0.028516,0.007365,0.007377,0.007343,0.007406,0.00737,0.007358,0,0,0,0,0,0,50
10000,10000,0,0,0.04594,0.045997,0.045968,0.045948,0.045938,0.045983,0.007539,0.007568,0.007567,0.007565,0.007558,0.00757,0,0,0,0,0,0,100
10000,10000,0,1,0.02874,0.028744,0.028724,0.028723,0.028719,0.028784,0.007404,0.007346,0.00737,0.007558,0.007331,0.007466,0,0,0,0,0,0,50
10000,10000,1,0,0.045997,0.045994,0.046073,0.04602,0.045984,0.046004,0.006786,0.006783,0.006788,0.006808,0.0068,0.006841,0,0,0,0,0,0,100
10000,10000,1,1,0.028991,0.029007,0.029001,0.029001,0.02902,0.028988,0.005397,0.005386,0.005432,0.005398,0.005429,0.005397,0,0,0,0,0,0,50
10000,10000,2,0,0.046503,0.046523,0.046504,0.046533,0.046553,0.04653,0.007564,0.00759,0.007579,0.007655,0.007574,0.007516,0,0,0,0,0,0,100
10000,10000,2,1,0.02879,0.028805,0.028827,0.028799,0.028791,0.030012,0.00732,0.007363,0.007347,0.007333,0.007328,0.007336,0,0,0,0,0,0,50
11250,10000,0,0,0.051458,0.051431,0.051483,0.051442,0.051419,0.051437,0.008495,0.00858,0.008487,0.00851,0.008521,0.008853,0,0,0,0,0,0,100
11250,10000,0,0,0.031271,0.031279,0.031263,0.031258,0.031286,0.031263,0.008475,0.008535,0.008484,0.008523,0.008512,0.008544,0,0,0,0,0,0,50
