size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0,0.034571,0.034578,0.034677,0.034572,0.034562,0.034606,0.007575,0.007578,0.007592,0.007631,0.007596,0.007566,0,0,0,0,0,0,100
10000,10000,0,1,0.021514,0.021529,0.021544,0.021518,0.021629,0.021479,0.007389,0.00737,0.00741,0.007367,0.007385,0.007375,0,0,0,0,0,0,50
10000,10000,1,0,0.035064,0.035067,0.035093,0.035149,0.035066,0.035059,0.006805,0.00682,0.006832,0.006856,0.006879,0.006876,0,0,0,0,0,0,100
10000,10000,1,1,0.021419,0.022037,0.021434,0.021434,0.021652,0.021406,0.005359,0.005438,0.005423,0.005401,0.005399,0.005503,0,0,0,0,0,0,50
10000,10000,2,0,0.034967,0.034914,0.034917,0.034948,0.034886,0.03493,0.007599,0.007642,0.007583,0.007575,0.007592,0.007596,0,0,0,0,0,0,100
10000,10000,2,1,0.022334,0.022314,0.02222,0.022154,0.022068,0.022092,0.007358,0.007736,0.007373,0.007355,0.007379,0.007978,0,0,0,0,0,0,50
10000,10000,0,0,0.03465,0.034597,0.034628,0.034571,0.034547,0.034638,0.007559,0.007604,0.007606,0.007593,0.007586,0.007619,0,0,0,0,0,0,100
10000,10000,0,1,0.021432,0.021463,0.021443,0.021444,0.021729,0.021477,0.007708,0.007373,0.008125,0.007385,0.007363,0.007338,0,0,0,0,0,0,50
10000,10000,1,0,0.034959,0.034973,0.034978,0.034963,0.035027,0.034976,0.006844,0.00684,0.006826,0.006859,0.0068,0.00685,0,0,0,0,0,0,100
10000,10000,1,1,0.021848,0.021819,0.021831,0.022083,0.022209,0.021812,0.005397,0.00541,0.005439,0.005445,0.005389,0.005426,0,0,0,0,0,0,50
10000,10000,2,0,0.0349,0.034903,0.034895,0.034895,0.034949,0.034928,0.007599,0.007599,0.007612,0.007606,0.007629,0.007626,0,0,0,0,0,0,100
