,size,numberQueries,dataDistribution,snappy_times,simd_times,rle_times,uncompressed_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes
0,10000,10000,0,0.171374,0.410337,0.294877,0.152341,65548,31944,65536,65536
1,10000,10000,1,0.16943,0.346888,0.319456,0.14579,65547,2220,16,65536
2,10000,10000,2,0.171008,0.419651,0.296686,0.147674,65548,30240,65536,65536
3,11250,10000,0,0.16598,0.381248,0.276455,0.142877,65548,31976,65536,65536
4,11250,10000,1,0.161775,0.320614,0.291347,0.142008,65547,2220,16,65536
5,11250,10000,2,0.16228,0.384138,0.273176,0.139851,65548,30300,65536,65536
6,12656,10000,0,0.195731,0.489508,0.343941,0.168328,98322,47924,98304,98304
7,12656,10000,1,0.200513,0.402737,0.365236,0.164999,98321,3336,24,98304
8,12656,10000,2,0.20365,0.488345,0.345783,0.167066,98322,45272,98304,98304
9,14238,10000,0,0.189771,0.444214,0.32396,0.164367,98322,47944,98304,98304
10,14238,10000,1,0.186738,0.370836,0.338895,0.159441,98321,3336,24,98304
11,14238,10000,2,0.190205,0.450543,0.321647,0.166149,98322,45328,98304,98304
12,16017,10000,0,0.185792,0.409983,0.300457,0.16292,98322,47868,98304,98304
13,16017,10000,1,0.184628,0.34861,0.323168,0.167039,98321,3336,24,98304
14,16017,10000,2,0.189968,0.415654,0.30214,0.163043,98322,45292,98304,98304
15,18019,10000,0,0.208013,0.481388,0.344998,0.176249,131096,63964,131072,131072
16,18019,10000,1,0.206907,0.397442,0.36072,0.177428,131095,4452,32,131072
17,18019,10000,2,0.208472,0.48655,0.347246,0.179674,131096,60516,131072,131072
18,20271,10000,0,0.205546,0.4301,0.325444,0.178548,131096,64056,131072,131072
19,20271,10000,1,0.200686,0.37299,0.34016,0.178114,131095,4452,32,131072
20,20271,10000,2,0.207601,0.447468,0.32988,0.181595,131096,60428,131072,131072
21,22804,10000,0,0.224155,0.497489,0.353926,0.192836,294965,139992,294912,294912
22,22804,10000,1,0.219696,0.411274,0.374763,0.191923,294964,10020,72,294912
23,22804,10000,2,0.220572,0.496599,0.353436,0.189542,294966,131768,294912,294912
24,25654,10000,0,0.231322,0.525848,0.372867,0.198879,327739,156100,327680,327680
25,25654,10000,1,0.227145,0.425494,0.389434,0.201313,327738,11136,80,327680
26,25654,10000,2,0.229327,0.544084,0.372177,0.202233,327740,146804,327680,327680
27,28860,10000,0,0.235615,0.56753,0.386831,0.206972,360513,172048,360448,360448
28,28860,10000,1,0.233292,0.43952,0.40229,0.204735,360512,12252,88,360448
29,28860,10000,2,0.237421,0.568389,0.38739,0.205557,360514,161792,360448,360448
30,32467,10000,0,0.247254,0.536058,0.379557,0.219073,360514,171980,360448,360448
31,32467,10000,1,0.243454,0.424643,0.39163,0.213548,360512,12252,88,360448
32,32467,10000,2,0.246129,0.539982,0.379069,0.219695,360514,162048,360448,360448
33,36525,10000,0,0.259949,0.555292,0.396132,0.231169,393288,188124,393216,393216
34,36525,10000,1,0.249527,0.439485,0.405575,0.223663,393286,13368,96,393216
35,36525,10000,2,0.259048,0.56165,0.396067,0.228032,393288,177000,393216,393216
36,41090,10000,0,0.26733,0.5953,0.41724,0.234385,589932,280088,589824,589824
37,41090,10000,1,0.267607,0.47182,0.434497,0.229509,589906,20064,144,589824
38,41090,10000,2,0.268505,0.598439,0.414979,0.23393,589930,263600,589824,589824
39,46226,10000,0,0.296455,0.601108,0.427498,0.249958,622706,296092,622592,622592
40,46226,10000,1,0.276401,0.475666,0.444865,0.239878,622680,21180,152,622592
41,46226,10000,2,0.282948,0.606525,0.430481,0.2496,622706,278868,622592,622592
42,52004,10000,0,0.302408,0.612847,0.441204,0.270873,655480,311996,655360,655360
43,52004,10000,1,0.292769,0.483728,0.445053,0.260698,655454,22296,160,655360
