,size,numberQueries,dataDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes
0,10000,10000,0,0.034238,0.034276,0.035696,0.034301,0.007426,0.007398,0.007462,0.007427,0,0,0,0
1,10000,10000,1,0.035588,0.034831,0.034896,0.034875,0.005367,0.005481,0.005314,0.005688,0,0,0,0
2,10000,10000,2,0.034204,0.034209,0.034326,0.034459,0.007377,0.007438,0.007349,0.007393,0,0,0,0
3,11250,10000,0,0.039359,0.039271,0.039301,0.039348,0.008336,0.008396,0.008389,0.008338,0,0,0,0
4,11250,10000,1,0.039059,0.039077,0.039068,0.039045,0.00599,0.005989,0.005961,0.006201,0,0,0,0
5,11250,10000,2,0.038866,0.038805,0.038763,0.038879,0.008363,0.008354,0.008363,0.008337,0,0,0,0
6,12656,10000,0,0.043566,0.043769,0.043581,0.043574,0.009347,0.009479,0.009339,0.009367,0,0,0,0
7,12656,10000,1,0.043761,0.043806,0.043738,0.043755,0.006774,0.00674,0.006783,0.006808,0,0,0,0
8,12656,10000,2,0.04367,0.043589,0.043595,0.043709,0.009406,0.009634,0.009358,0.00933,0,0,0,0
9,14238,10000,0,0.051158,0.049173,0.049688,0.049209,0.010519,0.010615,0.010539,0.010668,0,0,0,0
10,14238,10000,1,0.048922,0.049001,0.049328,0.04893,0.007691,0.007555,0.007621,0.00758,0,0,0,0
11,14238,10000,2,0.049357,0.050014,0.049544,0.049393,0.010502,0.011213,0.010526,0.010493,0,0,0,0
12,16017,10000,0,0.055067,0.054995,0.05506,0.056249,0.011863,0.011999,0.011823,0.011818,0,0,0,0
13,16017,10000,1,0.055767,0.055084,0.055195,0.055101,0.008584,0.008536,0.0085,0.008506,0,0,0,0
14,16017,10000,2,0.056313,0.056848,0.055844,0.055781,0.011802,0.012023,0.011806,0.011785,0,0,0,0
15,18019,10000,0,0.473466,1.34805,0.985613,0.38137,0.021515,0.021653,0.021292,0.021137,131081,59644,131072,131072
16,18019,10000,1,0.479566,1.12407,1.06416,0.382898,0.015204,0.01539,0.015069,0.015091,131080,4368,8,131072
17,18019,10000,2,0.482974,1.35933,0.989909,0.376489,0.021408,0.021585,0.021185,0.021071,131081,55952,131072,131072
18,20271,10000,0,0.446009,1.22487,0.901707,0.35706,0.023112,0.023299,0.023259,0.022734,131081,59692,131072,131072
19,20271,10000,1,0.442674,1.02135,0.963814,0.359284,0.01636,0.016485,0.016369,0.016086,131080,4368,8,131072
20,20271,10000,2,0.440139,1.2751,0.899747,0.351706,0.023048,0.023315,0.023044,0.02272,131081,55836,131072,131072
21,22804,10000,0,0.418527,1.10746,0.82356,0.345772,0.024962,0.02515,0.02496,0.024628,131081,59724,131072,131072
22,22804,10000,1,0.415017,0.925646,0.879589,0.335246,0.017889,0.017823,0.017871,0.01748,131080,4368,8,131072
23,22804,10000,2,0.418314,1.14647,0.817183,0.337846,0.024885,0.025081,0.024735,0.024546,131081,55692,131072,131072
24,25654,10000,0,0.390955,1.00651,0.750732,0.321719,0.027005,0.028631,0.026867,0.028813,131081,59708,131072,131072
25,25654,10000,1,0.387966,0.841552,0.798547,0.318055,0.019491,0.019297,0.019031,0.019105,131080,4368,8,131072
26,25654,10000,2,0.392216,1.05041,0.754934,0.320234,0.027022,0.027207,0.026691,0.027113,131081,55864,131072,131072
27,28860,10000,0,0.376157,0.915409,0.689003,0.30869,0.029305,0.029589,0.029166,0.029016,131081,59804,131072,131072
28,28860,10000,1,0.37101,0.77591,0.737439,0.306678,0.021083,0.021192,0.020879,0.021411,131080,4368,8,131072
29,28860,10000,2,0.375996,0.919043,0.688497,0.3027,0.029249,0.030293,0.029133,0.028953,131081,55788,131072,131072
30,32467,10000,0,0.350169,0.836126,0.632806,0.293405,0.031913,0.032164,0.032236,0.031628,131081,59752,131072,131072
31,32467,10000,1,0.357252,0.71633,0.679586,0.297044,0.022924,0.02293,0.022746,0.022556,131080,4368,8,131072
32,32467,10000,2,0.357394,0.878999,0.641801,0.297657,0.031816,0.032063,0.031676,0.031533,131081,55772,131072,131072
33,36525,10000,0,0.52051,1.42487,1.02391,0.418441,0.042786,0.042896,0.042211,0.041955,262162,119480,262144,262144
34,36525,10000,1,0.507824,1.14565,1.08843,0.414002,0.02995,0.030712,0.029642,0.029662,262161,8748,16,262144
35,36525,10000,2,0.517426,1.45168,1.02389,0.418679,0.042309,0.042611,0.042006,0.041795,262162,111352,262144,262144
36,41090,10000,0,0.493215,1.28094,0.940968,0.405749,0.045706,0.046126,0.04557,0.045222,262162,119256,262144,262144
37,41090,10000,1,0.489866,1.05383,1.00416,0.400233,0.032326,0.033067,0.032926,0.032151,262161,8748,16,262144
38,41090,10000,2,0.499574,1.3045,0.949815,0.4071,0.045643,0.045973,0.045475,0.0452,262162,111600,262144,262144
39,46226,10000,0,0.475988,1.1819,0.87392,0.394119,0.049372,0.049742,0.04912,0.048952,262162,119272,262144,262144
40,46226,10000,1,0.470721,0.970125,0.922234,0.39048,0.03542,0.035751,0.034912,0.034842,262161,8748,16,262144
41,46226,10000,2,0.473419,1.19849,0.870876,0.392273,0.0493,0.049711,0.049742,0.048864,262162,111628,262144,262144
42,52004,10000,0,0.570412,1.525,1.10654,0.453724,0.060893,0.061393,0.060812,0.060329,393243,178932,393216,393216
43,52004,10000,1,0.554759,1.23016,1.16459,0.462031,0.043132,0.043021,0.042941,0.04211,393240,13128,24,393216
44,52004,10000,2,0.572068,1.56916,1.10687,0.45867,0.060692,0.061274,0.06071,0.060019,393243,167176,393216,393216
45,58504,10000,0,0.547101,1.38835,1.02001,0.451118,0.065574,0.066146,0.065319,0.064899,393243,179120,393216,393216
46,58504,10000,1,0.543612,1.13632,1.08069,0.449774,0.046748,0.046416,0.046148,0.045834,393240,13128,24,393216
47,58504,10000,2,0.553223,1.4432,1.02999,0.458413,0.06536,0.066888,0.065118,0.065939,393243,166996,393216,393216
48,65817,10000,0,0.607624,1.59965,1.17428,0.48734,0.078226,0.078803,0.077781,0.077314,524323,238912,524288,524288
49,65817,10000,1,0.596254,1.29741,1.23337,0.478452,0.054798,0.05504,0.055025,0.054032,524321,17508,32,524288
50,65817,10000,2,0.608822,1.67678,1.18101,0.494629,0.078205,0.078742,0.077713,0.077122,524324,223204,524288,524288
51,74044,10000,0,0.606209,1.51422,1.11628,0.499595,0.08392,0.084676,0.08383,0.084193,524323,238864,524288,524288
52,74044,10000,1,0.590477,1.21739,1.15499,0.487576,0.059038,0.059601,0.0591,0.058651,524321,17508,32,524288
53,74044,10000,2,0.603191,1.53866,1.11341,0.495826,0.083901,0.093462,0.083765,0.082958,524324,222916,524288,524288
54,83299,10000,0,0.636748,1.64956,1.20696,0.524573,0.99832,1.04952,1.02035,1.02295,1179668,520880,1179648,1179648
55,83299,10000,1,0.626093,1.32386,1.2567,0.51362,0.907016,0.934159,0.930662,0.915884,1179650,39396,72,1179648
56,83299,10000,2,0.639583,1.66435,1.21202,0.520613,1.01634,1.04851,1.03498,1.02227,1179661,484944,1179648,1179648
57,93711,10000,0,0.658339,1.57058,1.15297,0.542707,0.999659,1.04446,1.05455,1.0254,1179668,521360,1179648,1179648
58,93711,10000,1,0.629634,1.24945,1.18844,0.531462,0.91291,0.915267,0.937549,0.911629,1179669,39396,72,1179648
59,93711,10000,2,0.643555,1.57081,1.15758,0.53879,1.02232,1.06818,1.0328,1.02276,1179666,485140,1179648,1179648
60,105424,10000,0,0.668774,1.64392,1.2195,0.553305,1.0435,1.08995,1.04465,1.04508,1310749,580596,1310720,1310720
61,105424,10000,1,0.66743,1.30901,1.24625,0.543051,0.907874,0.921656,0.945517,0.914102,1310731,43776,80,1310720
62,105424,10000,2,0.675861,1.67267,1.23484,0.559236,1.04993,1.0628,1.06295,1.04097,1310746,541052,1310720,1310720
63,118602,10000,0,0.683574,1.69978,1.27072,0.563153,1.03735,1.0938,1.0889,1.05799,1441830,640792,1441792,1441792
64,118602,10000,1,0.672358,1.35234,1.28418,0.557279,0.937104,0.93923,0.960826,0.921902,1441810,48156,88,1441792
65,118602,10000,2,0.68482,1.72001,1.27211,0.560899,1.06015,1.07365,1.07185,1.0608,1441826,596564,1441792,1441792
66,133427,10000,0,0.7087,1.75518,1.31757,0.580047,1.07269,1.0818,1.09173,1.07424,1572911,699864,1572864,1572864
67,133427,10000,1,0.684895,1.38295,1.31887,0.572393,0.948075,0.944056,0.974517,0.946873,1572891,52536,96,1572864
68,133427,10000,2,0.71058,1.79444,1.32401,0.587199,1.08308,1.10706,1.07698,1.07594,1572910,652396,1572864,1572864
69,150105,10000,0,0.755384,1.79061,1.36456,0.633281,2.00975,2.04684,2.02744,2.01197,2228253,982560,2228224,2228224
70,150105,10000,1,0.74669,1.43931,1.36719,0.622792,1.80968,1.85167,1.81913,1.76029,2228221,74436,136,2228224
71,150105,10000,2,0.747563,1.80973,1.36225,0.636974,2.03644,2.04051,2.02406,2.01691,2228255,914016,2228224,2228224
72,168868,10000,0,0.784941,1.81544,1.39878,0.663191,2.02399,2.10707,2.07629,2.02954,2359336,1042636,2359296,2359296
73,168868,10000,1,0.759332,1.44442,1.37673,0.644428,1.8086,1.82199,1.82059,1.81588,2359340,78816,144,2359296
74,168868,10000,2,0.779214,1.85389,1.3903,0.656496,1.97214,2.08409,2.05731,2.03356,2359353,970060,2359296,2359296
75,189976,10000,0,0.813963,1.84805,1.4305,0.702979,2.05772,2.12024,2.07808,2.06977,2490416,1102564,2490368,2490368
76,189976,10000,1,0.797141,1.47964,1.39893,0.6927,1.80045,1.84387,1.85158,1.84527,2490419,83196,152,2490368
77,189976,10000,2,0.815496,1.87646,1.43961,0.701757,2.01388,2.07672,2.09368,2.07923,2490434,1026024,2490368,2490368
78,213723,10000,0,0.869974,1.9093,1.50588,0.73291,3.02583,3.1057,3.07312,3.01841,3276857,1444992,3276800,3276800
79,213723,10000,1,0.850609,1.54114,1.46962,0.725821,2.6975,2.71896,2.66995,2.67719,3276849,109476,200,3276800
80,213723,10000,2,0.865976,1.9493,1.4984,0.734582,3.03428,3.02947,3.05518,3.04084,3276851,1343268,3276800,3276800
81,240438,10000,0,0.917306,1.92262,1.53777,0.798232,3.02615,3.12595,3.07743,3.06824,3407941,1503996,3407872,3407872
82,240438,10000,1,0.920419,1.58761,1.49971,0.785753,2.72304,2.72307,2.67847,2.7369,3407873,113856,208,3407872
83,240438,10000,2,0.921474,1.96948,1.54011,0.79785,2.98851,3.13911,3.08947,3.02112,3407973,1400112,3407872,3407872
84,270492,10000,0,0.947812,2.0098,1.59509,0.823273,3.02757,3.15897,3.13647,3.08883,3670099,1623644,3670016,3670016
85,270492,10000,1,0.943982,1.60062,1.53458,0.813358,2.72846,2.74255,2.69762,2.72976,3670033,122616,224,3670016
86,270492,10000,2,0.946693,2.04875,1.60061,0.835217,3.08321,3.10945,3.11431,3.09449,3670096,1511596,3670016,3670016
87,304303,10000,0,1.03389,2.08008,1.66606,0.907784,4.04749,4.15718,4.14324,4.03588,4456527,1965480,4456448,4456448
88,304303,10000,1,1.01636,1.68022,1.59485,0.879636,3.59626,3.63532,3.6309,3.56147,4456510,148896,272,4456448
89,304303,10000,2,1.03507,2.11054,1.66252,0.903573,4.04106,4.11015,4.11526,4.0723,4456532,1829316,4456448,4456448
90,342340,10000,0,1.09853,2.15022,1.73223,0.976046,4.03105,4.14251,4.19906,4.11505,4718708,2085096,4718592,4718592
91,342340,10000,1,1.09154,1.73628,1.65829,0.948588,3.64253,3.64614,3.67794,3.60232,4718600,157656,288,4718592
92,342340,10000,2,1.10075,2.17668,1.72724,0.968751,3.98533,4.17384,4.15962,4.10617,4718707,1940120,4718592,4718592
93,385132,10000,0,1.1922,2.29194,1.8241,1.0659,9.43195,10.1068,9.94929,9.97324,7733271,3311668,7733248,7733248
94,385132,10000,1,1.22255,1.82874,1.74675,1.0422,9.03795,9.0016,9.07125,8.87353,7733245,258384,472,7733248
95,385132,10000,2,1.17712,2.2793,1.82767,1.05322,9.93216,10.1493,10.1154,9.94473,7733231,3073380,7733248,7733248
96,433273,10000,0,1.24754,2.33422,1.88117,1.11565,11.0338,11.0279,11.1419,10.8845,8650739,3714240,8650752,8650752
97,433273,10000,1,1.29428,1.87764,1.80158,1.09936,9.74701,9.90945,9.9468,9.90345,8650536,289044,528,8650752
98,433273,10000,2,1.28292,2.31873,1.87413,1.12024,10.3689,11.0641,11.0182,10.8285,8650791,3446552,8650752,8650752
99,487432,10000,0,1.33136,2.40031,1.95891,1.20863,11.9056,12.0465,12.011,11.9366,9568240,4115860,9568256,9568256
100,487432,10000,1,1.39522,1.95479,1.88851,1.20311,10.6396,10.8795,10.7445,10.6485,9568023,319704,584,9568256
101,487432,10000,2,1.36207,2.39753,1.95465,1.2066,11.3941,12.1284,12.0429,11.927,9568290,3819608,9568256,9568256
102,548361,10000,0,1.41598,2.47548,2.03,1.26416,12.8283,12.9794,13.1295,12.8447,10616883,4578324,10616832,10616832
103,548361,10000,1,1.45123,2.02822,1.93352,1.25709,11.4413,11.7037,11.6239,11.6563,10616583,354744,648,10616832
104,548361,10000,2,1.40064,2.47567,2.03749,1.27459,12.9423,13.0179,12.9412,12.8981,10616723,4248716,10616832,10616832
105,616906,10000,0,1.63949,2.65927,2.24481,1.51796,18.7976,18.8695,18.9532,18.7059,13762329,5864672,13762560,13762560
106,616906,10000,1,1.69689,2.25684,2.19148,1.50167,16.9521,16.9862,17.1093,16.9424,13762088,459864,840,13762560
107,616906,10000,2,1.63315,2.66287,2.23867,1.52629,18.7498,18.9239,18.8597,18.7573,13762275,5437280,13762560,13762560
108,694019,10000,0,1.72322,2.75199,2.30866,1.57231,19.0101,20.1297,19.7907,19.7683,14942286,6386260,14942208,14942208
109,694019,10000,1,1.75288,2.31467,2.23275,1.56299,17.8711,18.0201,17.8798,17.855,14942226,499284,912,14942208
110,694019,10000,2,1.77141,2.78899,2.32505,1.57032,18.6442,20.0346,19.8646,19.7453,14942219,5923104,14942208,14942208
111,780771,10000,0,1.81997,2.88769,2.41912,1.68988,20.7653,20.9748,21.011,20.7628,16121860,6908424,16121856,16121856
112,780771,10000,1,1.88156,2.42744,2.37057,1.66883,18.735,18.7381,18.7862,18.6676,16121891,538704,984,16121856
113,780771,10000,2,1.83943,2.90444,2.45138,1.67711,20.8467,20.9401,20.9546,20.6976,16121890,6409020,16121856,16121856
114,878367,10000,0,2.10973,3.17046,2.73727,2.06582,27.1421,28.1533,27.8299,27.68,20054256,8537068,20054016,20054016
115,878367,10000,1,2.21266,2.72345,2.6184,1.99118,24.9174,24.9657,25.1385,24.8334,20053899,670104,1224,20054016
116,878367,10000,2,2.24215,3.17526,2.7365,1.98506,25.8568,28.0206,27.887,27.5801,20053938,7912960,20054016,20054016
117,988162,10000,0,2.29079,3.35558,2.84123,2.11128,27.6191,29.1902,28.9671,28.6824,21496207,9177840,21495808,21495808
118,988162,10000,1,2.23799,2.78837,2.70755,2.01387,25.9732,26.0201,26.0341,25.8448,21495324,718284,1312,21495808
119,988162,10000,2,2.25062,3.40969,2.85108,2.08336,28.5686,29.1792,28.8944,28.8334,21495594,8509244,21495808,21495808
120,1111682,10000,0,2.4468,3.59872,3.06688,2.25179,29.6947,30.8379,31.4842,30.6398,23461755,10040552,23461888,23461888
121,1111682,10000,1,2.47515,3.00575,2.94863,2.25464,27.463,27.7053,27.9423,27.654,23461825,783984,1432,23461888
122,1111682,10000,2,2.45059,3.52611,3.05643,2.29347,30.756,31.143,31.2059,30.5719,23461607,9310668,23461888,23461888
