size,numberQueries,dataDistribution,snappy_read_times,simd_read_times,rle_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,uncompressed_sizes,readPercentage
10000,10000,0,0.035091,0.035094,0.034677,0.034611,0.0076,0.007589,0.00757,0.007565,0,0,0,0,100
10000,10000,1,0.034378,0.034446,0.034382,0.034431,0.006838,0.006827,0.006906,0.006797,0,0,0,0,100
10000,10000,2,0.034659,0.034682,0.034723,0.034752,0.007617,0.007603,0.007613,0.007582,0,0,0,0,100
10000,10000,0,0.021911,0.021876,0.022425,0.021895,0.007567,0.00761,0.007558,0.007594,0,0,0,0,50
10000,10000,1,0.022076,0.022293,0.022278,0.022266,0.006804,0.00685,0.006891,0.006797,0,0,0,0,50
1000,10000,2,0.00636,0.006366,0.006376,0.006375,0.000775,0.000762,0.000774,0.000759,0,0,0,0,50
11250,10000,0,0.038987,0.039613,0.039165,0.038966,0.008507,0.008496,0.008528,0.008561,0,0,0,0,100
11250,10000,0,0.024011,0.023833,0.023968,0.024191,0.008523,0.00861,0.0086,0.008533,0,0,0,0,50
11250,10000,1,0.038965,0.039014,0.038996,0.038932,0.007752,0.007733,0.007684,0.007795,0,0,0,0,100
11250,10000,1,0.023844,0.023964,0.023772,0.023782,0.007684,0.007647,0.007708,0.007662,0,0,0,0,50
11250,10000,2,0.038639,0.0386,0.038655,0.04008,0.008519,0.008514,0.008504,0.008475,0,0,0,0,100
11250,10000,2,0.024727,0.024263,0.024145,0.024237,0.008534,0.008522,0.009117,0.008625,0,0,0,0,50
12656,10000,0,0.043475,0.043495,0.043451,0.043514,0.009563,0.009565,0.009577,0.009588,0,0,0,0,100
12656,10000,0,0.026783,0.027113,0.027369,0.02679,0.009578,0.009555,0.009561,0.009552,0,0,0,0,50
12656,10000,1,0.043547,0.043538,0.043612,0.043554,0.008641,0.008592,0.008623,0.008645,0,0,0,0,100
12656,10000,1,0.027456,0.027393,0.027623,0.027273,0.008646,0.008703,0.008654,0.008742,0,0,0,0,50
12656,10000,2,0.043788,0.0438,0.043766,0.043823,0.009541,0.009579,0.009547,0.009601,0,0,0,0,100
12656,10000,2,0.026661,0.027401,0.02694,0.026509,0.00957,0.009575,0.009586,0.009525,0,0,0,0,50
14238,10000,0,0.048412,0.048409,0.048396,0.048495,0.010767,0.010756,0.010743,0.010748,0,0,0,0,100
14238,10000,0,0.02965,0.029927,0.030038,0.029543,0.010706,0.010827,0.010779,0.010756,0,0,0,0,50
14238,10000,1,0.049215,0.049393,0.04919,0.049534,0.009768,0.009746,0.009721,0.009735,0,0,0,0,100
14238,10000,1,0.029446,0.030261,0.029644,0.029653,0.009712,0.009728,0.009715,0.009823,0,0,0,0,50
14238,10000,2,0.049849,0.048722,0.048704,0.048812,0.010921,0.010741,0.010771,0.010753,0,0,0,0,100
14238,10000,2,0.029325,0.029119,0.029475,0.029423,0.010845,0.010736,0.010798,0.01074,0,0,0,0,50
16017,10000,0,0.055417,0.055418,0.055414,0.055401,0.012245,0.012201,0.012124,0.012058,0,0,0,0,100
16017,10000,0,0.033595,0.032915,0.033026,0.032738,0.012069,0.012061,0.012071,0.012044,0,0,0,0,50
16017,10000,1,0.055428,0.055182,0.055788,0.056237,0.01095,0.010999,0.01103,0.010994,0,0,0,0,100
16017,10000,1,0.031398,0.031416,0.031655,0.032609,0.010992,0.010978,0.01101,0.010985,0,0,0,0,50
16017,10000,2,0.055514,0.055554,0.0556,0.056787,0.012029,0.012028,0.012051,0.012071,0,0,0,0,100
16017,10000,2,0.032955,0.033306,0.03349,0.032286,0.012059,0.01205,0.012061,0.012056,0,0,0,0,50
18019,10000,0,0.061481,0.061462,0.06252,0.061609,0.013601,0.013663,0.013651,0.013689,0,0,0,0,100
18019,10000,0,0.036735,0.036409,0.036312,0.037237,0.01373,0.013705,0.013652,0.013682,0,0,0,0,50
18019,10000,1,0.062334,0.062384,0.062272,0.062636,0.012419,0.012408,0.01249,0.01239,0,0,0,0,100
18019,10000,1,0.037151,0.036425,0.035855,0.037515,0.012388,0.012366,0.012585,0.012487,0,0,0,0,50
18019,10000,2,0.062932,0.06298,0.062906,0.063359,0.013673,0.013678,0.01366,0.013679,0,0,0,0,100
18019,10000,2,0.036809,0.035976,0.035885,0.035673,0.013671,0.013639,0.013698,0.013647,0,0,0,0,50
20271,10000,0,0.071072,0.071295,0.073072,0.070386,0.015398,0.016144,0.015334,0.015339,0,0,0,0,100
20271,10000,0,0.040007,0.040782,0.039977,0.039726,0.015397,0.01536,0.015335,0.015341,0,0,0,0,50
20271,10000,1,0.0693,0.071076,0.06936,0.070329,0.014108,0.013921,0.013933,0.013921,0,0,0,0,100
20271,10000,1,0.03991,0.040181,0.040718,0.040193,0.013939,0.013957,0.013989,0.013919,0,0,0,0,50
20271,10000,2,0.073249,0.070561,0.073718,0.071207,0.015324,0.01535,0.015312,0.015368,0,0,0,0,100
20271,10000,2,0.040379,0.041162,0.040912,0.040924,0.015385,0.015351,0.015274,0.015377,0,0,0,0,50
22804,10000,0,0.080332,0.079285,0.079431,0.083602,0.017194,0.018102,0.017215,0.017216,0,0,0,0,100
22804,10000,0,0.043648,0.044056,0.044424,0.044481,0.017248,0.017325,0.017217,0.017209,0,0,0,0,50
22804,10000,1,0.082417,0.07944,0.082947,0.08,0.01588,0.01568,0.01566,0.015654,0,0,0,0,100
22804,10000,1,0.045979,0.044806,0.043872,0.044348,0.015676,0.015671,0.015811,0.015894,0,0,0,0,50
22804,10000,2,0.081157,0.081776,0.080256,0.07919,0.017264,0.017228,0.017205,0.017212,0,0,0,0,100
22804,10000,2,0.044478,0.043514,0.044253,0.045127,0.017228,0.017208,0.017203,0.017214,0,0,0,0,50
25654,10000,0,0.091706,0.092065,0.093529,0.090939,0.019382,0.019783,0.019382,0.019387,0,0,0,0,100
