,size,numberQueries,dataDistribution,y
0,10000,10,0,False
1,20000,20,1,True
2,30000,30,2,True
3,40000,40,0,True
4,50000,50,1,True
5,60000,60,2,False
6,70000,70,0,False
7,80000,80,1,False
8,90000,90,2,True
9,100000,100,0,False
10,110000,110,1,False
11,120000,120,2,False
12,130000,130,0,False
13,140000,140,1,False
14,150000,150,2,True
15,160000,160,0,False
16,170000,170,1,True
17,180000,180,2,True
18,190000,190,0,True
19,200000,200,1,False
20,210000,210,2,True
21,220000,220,0,False
22,230000,230,1,True
23,240000,240,2,True
24,250000,250,0,False
25,260000,260,1,False
26,270000,270,2,True
27,280000,280,0,True
28,290000,290,1,True
29,300000,300,2,False
30,310000,310,0,True
31,320000,320,1,False
32,330000,330,2,False
33,340000,340,0,True
34,350000,350,1,True
35,360000,360,2,False
36,370000,370,0,True
37,380000,380,1,False
38,390000,390,2,False
39,400000,400,0,False
40,410000,410,1,True
41,420000,420,2,True
42,430000,430,0,True
43,440000,440,1,False
44,450000,450,2,False
45,460000,460,0,False
46,470000,470,1,True
47,480000,480,2,True
48,490000,490,0,True
49,500000,500,1,False
50,510000,510,2,True
51,520000,520,0,True
52,530000,530,1,True
53,540000,540,2,True
54,550000,550,0,True
55,560000,560,1,False
56,570000,570,2,False
57,580000,580,0,True
58,590000,590,1,False
59,600000,600,2,True
60,610000,610,0,True
61,620000,620,1,False
62,630000,630,2,False
63,640000,640,0,True
64,650000,650,1,True
65,660000,660,2,False
66,670000,670,0,True
67,680000,680,1,True
68,690000,690,2,False
69,700000,700,0,True
70,710000,710,1,True
71,720000,720,2,False
72,730000,730,0,True
73,740000,740,1,True
74,750000,750,2,False
75,760000,760,0,False
76,770000,770,1,False
77,780000,780,2,False
78,790000,790,0,True
79,800000,800,1,False
80,810000,810,2,False
81,820000,820,0,True
82,830000,830,1,False
83,840000,840,2,False
84,850000,850,0,True
85,860000,860,1,False
86,870000,870,2,False
87,880000,880,0,True
88,890000,890,1,False
89,900000,900,2,True
90,910000,910,0,False
91,920000,920,1,True
92,930000,930,2,True
93,940000,940,0,True
94,950000,950,1,False
95,960000,960,2,False
96,970000,970,0,False
97,980000,980,1,False
98,990000,990,2,True
99,1000000,1000,0,True
100,1010000,1010,1,False
101,1020000,1020,2,True
102,1030000,1030,0,True
103,1040000,1040,1,True
104,1050000,1050,2,False
105,1060000,1060,0,False
106,1070000,1070,1,False
107,1080000,1080,2,True
108,1090000,1090,0,False
109,1100000,1100,1,False
110,1110000,1110,2,False
111,1120000,1120,0,True
112,1130000,1130,1,True
113,1140000,1140,2,False
114,1150000,1150,0,False
115,1160000,1160,1,False
116,1170000,1170,2,False
117,1180000,1180,0,True
118,1190000,1190,1,False
119,1200000,1200,2,True
120,1210000,1210,0,True
121,1220000,1220,1,True
122,1230000,1230,2,False
123,1240000,1240,0,True
124,1250000,1250,1,False
125,1260000,1260,2,True
126,1270000,1270,0,False
127,1280000,1280,1,False
128,1290000,1290,2,True
129,1300000,1300,0,False
130,1310000,1310,1,True
131,1320000,1320,2,False
132,1330000,1330,0,True
133,1340000,1340,1,False
134,1350000,1350,2,True
135,1360000,1360,0,True
136,1370000,1370,1,False
137,1380000,1380,2,False
138,1390000,1390,0,True
139,1400000,1400,1,True
140,1410000,1410,2,True
141,1420000,1420,0,True
142,1430000,1430,1,True
143,1440000,1440,2,True
144,1450000,1450,0,True
145,1460000,1460,1,False
146,1470000,1470,2,False
147,1480000,1480,0,False
148,1490000,1490,1,False
149,1500000,1500,2,True
150,1510000,1510,0,False
151,1520000,1520,1,True
152,1530000,1530,2,False
153,1540000,1540,0,False
154,1550000,1550,1,False
155,1560000,1560,2,True
156,1570000,1570,0,False
157,1580000,1580,1,True
158,1590000,1590,2,False
159,1600000,1600,0,True
160,1610000,1610,1,True
161,1620000,1620,2,False
162,1630000,1630,0,True
163,1640000,1640,1,True
164,1650000,1650,2,True
165,1660000,1660,0,False
166,1670000,1670,1,False
167,1680000,1680,2,True
168,1690000,1690,0,False
169,1700000,1700,1,True
170,1710000,1710,2,True
171,1720000,1720,0,True
172,1730000,1730,1,True
173,1740000,1740,2,False
174,1750000,1750,0,True
175,1760000,1760,1,False
176,1770000,1770,2,True
177,1780000,1780,0,True
178,1790000,1790,1,False
179,1800000,1800,2,False
180,1810000,1810,0,False
181,1820000,1820,1,True
182,1830000,1830,2,True
183,1840000,1840,0,True
184,1850000,1850,1,True
185,1860000,1860,2,True
186,1870000,1870,0,True
187,1880000,1880,1,False
188,1890000,1890,2,False
189,1900000,1900,0,False
190,1910000,1910,1,False
191,1920000,1920,2,True
192,1930000,1930,0,True
193,1940000,1940,1,True
194,1950000,1950,2,True
195,1960000,1960,0,True
196,1970000,1970,1,True
197,1980000,1980,2,False
198,1990000,1990,0,True
199,2000000,2000,1,True
200,2010000,2010,2,True
201,2020000,2020,0,False
202,2030000,2030,1,False
203,2040000,2040,2,True
204,2050000,2050,0,True
205,2060000,2060,1,True
206,2070000,2070,2,False
207,2080000,2080,0,True
208,2090000,2090,1,True
209,2100000,2100,2,False
210,2110000,2110,0,True
211,2120000,2120,1,False
212,2130000,2130,2,False
213,2140000,2140,0,False
214,2150000,2150,1,True
215,2160000,2160,2,False
216,2170000,2170,0,False
217,2180000,2180,1,True
218,2190000,2190,2,True
219,2200000,2200,0,True
220,2210000,2210,1,True
221,2220000,2220,2,False
222,2230000,2230,0,False
223,2240000,2240,1,False
224,2250000,2250,2,False
225,2260000,2260,0,False
226,2270000,2270,1,True
227,2280000,2280,2,True
228,2290000,2290,0,False
229,2300000,2300,1,True
230,2310000,2310,2,True
231,2320000,2320,0,False
232,2330000,2330,1,True
233,2340000,2340,2,False
234,2350000,2350,0,True
235,2360000,2360,1,False
236,2370000,2370,2,True
237,2380000,2380,0,True
238,2390000,2390,1,True
239,2400000,2400,2,True
240,2410000,2410,0,True
241,2420000,2420,1,True
242,2430000,2430,2,True
243,2440000,2440,0,True
244,2450000,2450,1,False
245,2460000,2460,2,True
246,2470000,2470,0,True
247,2480000,2480,1,False
248,2490000,2490,2,True
249,2500000,2500,0,False
250,2510000,2510,1,True
251,2520000,2520,2,False
252,2530000,2530,0,False
253,2540000,2540,1,False
254,2550000,2550,2,False
255,2560000,2560,0,True
256,2570000,2570,1,True
257,2580000,2580,2,False
258,2590000,2590,0,False
259,2600000,2600,1,False
260,2610000,2610,2,False
261,2620000,2620,0,True
262,2630000,2630,1,False
263,2640000,2640,2,False
264,2650000,2650,0,True
265,2660000,2660,1,True
266,2670000,2670,2,False
267,2680000,2680,0,True
268,2690000,2690,1,False
269,2700000,2700,2,True
270,2710000,2710,0,False
271,2720000,2720,1,True
272,2730000,2730,2,True
273,2740000,2740,0,True
274,2750000,2750,1,True
275,2760000,2760,2,True
276,2770000,2770,0,True
277,2780000,2780,1,True
278,2790000,2790,2,False
279,2800000,2800,0,True
280,2810000,2810,1,True
281,2820000,2820,2,True
282,2830000,2830,0,True
283,2840000,2840,1,True
284,2850000,2850,2,True
285,2860000,2860,0,False
286,2870000,2870,1,True
287,2880000,2880,2,True
288,2890000,2890,0,False
289,2900000,2900,1,False
290,2910000,2910,2,True
291,2920000,2920,0,True
292,2930000,2930,1,False
293,2940000,2940,2,False
294,2950000,2950,0,True
295,2960000,2960,1,True
296,2970000,2970,2,True
297,2980000,2980,0,True
298,2990000,2990,1,True
299,3000000,3000,2,False
300,3010000,3010,0,False
301,3020000,3020,1,False
302,3030000,3030,2,True
303,3040000,3040,0,False
304,3050000,3050,1,True
305,3060000,3060,2,True
306,3070000,3070,0,True
307,3080000,3080,1,False
308,3090000,3090,2,True
309,3100000,3100,0,False
310,3110000,3110,1,False
311,3120000,3120,2,True
312,3130000,3130,0,False
313,3140000,3140,1,False
314,3150000,3150,2,True
315,3160000,3160,0,True
316,3170000,3170,1,True
317,3180000,3180,2,True
318,3190000,3190,0,False
319,3200000,3200,1,True
320,3210000,3210,2,True
321,3220000,3220,0,True
322,3230000,3230,1,True
323,3240000,3240,2,False
324,3250000,3250,0,True
325,3260000,3260,1,False
326,3270000,3270,2,False
327,3280000,3280,0,True
328,3290000,3290,1,True
329,3300000,3300,2,True
330,3310000,3310,0,True
331,3320000,3320,1,True
332,3330000,3330,2,False
333,3340000,3340,0,False
334,3350000,3350,1,True
335,3360000,3360,2,True
336,3370000,3370,0,True
337,3380000,3380,1,True
338,3390000,3390,2,False
339,3400000,3400,0,False
340,3410000,3410,1,False
341,3420000,3420,2,False
342,3430000,3430,0,False
343,3440000,3440,1,True
344,3450000,3450,2,True
345,3460000,3460,0,False
346,3470000,3470,1,True
347,3480000,3480,2,True
348,3490000,3490,0,False
349,3500000,3500,1,True
350,3510000,3510,2,False
351,3520000,3520,0,True
352,3530000,3530,1,False
353,3540000,3540,2,True
354,3550000,3550,0,True
355,3560000,3560,1,False
356,3570000,3570,2,False
357,3580000,3580,0,False
358,3590000,3590,1,False
359,3600000,3600,2,True
360,3610000,3610,0,False
361,3620000,3620,1,False
362,3630000,3630,2,False
363,3640000,3640,0,False
364,3650000,3650,1,True
365,3660000,3660,2,False
366,3670000,3670,0,True
367,3680000,3680,1,False
368,3690000,3690,2,False
369,3700000,3700,0,False
370,3710000,3710,1,True
371,3720000,3720,2,True
372,3730000,3730,0,True
373,3740000,3740,1,False
374,3750000,3750,2,False
375,3760000,3760,0,True
376,3770000,3770,1,True
377,3780000,3780,2,True
378,3790000,3790,0,True
379,3800000,3800,1,True
380,3810000,3810,2,False
381,3820000,3820,0,False
382,3830000,3830,1,True
383,3840000,3840,2,False
384,3850000,3850,0,True
385,3860000,3860,1,True
386,3870000,3870,2,True
387,3880000,3880,0,True
388,3890000,3890,1,True
389,3900000,3900,2,True
390,3910000,3910,0,False
391,3920000,3920,1,True
392,3930000,3930,2,False
393,3940000,3940,0,False
394,3950000,3950,1,True
395,3960000,3960,2,False
396,3970000,3970,0,False
397,3980000,3980,1,True
398,3990000,3990,2,True
399,4000000,4000,0,True
400,4010000,4010,1,True
401,4020000,4020,2,False
402,4030000,4030,0,False
403,4040000,4040,1,False
404,4050000,4050,2,True
405,4060000,4060,0,False
406,4070000,4070,1,False
407,4080000,4080,2,False
408,4090000,4090,0,False
409,4100000,4100,1,False
410,4110000,4110,2,True
411,4120000,4120,0,True
412,4130000,4130,1,True
413,4140000,4140,2,True
414,4150000,4150,0,True
415,4160000,4160,1,False
