,size,numberQueries,dataDistribution,y
0,10000,10000,0,True
1,10000,10000,1,False
2,10000,10000,2,False
3,11250,10000,0,False
4,11250,10000,1,False
5,11250,10000,2,True
6,12656,10000,0,False
7,12656,10000,1,True
8,12656,10000,2,True
9,14238,10000,0,True
10,14238,10000,1,False
11,14238,10000,2,False
12,16017,10000,0,False
13,16017,10000,1,True
14,16017,10000,2,True
15,18019,10000,0,False
16,18019,10000,1,False
17,18019,10000,2,False
18,20271,10000,0,False
19,20271,10000,1,False
20,20271,10000,2,False
21,22804,10000,0,False
22,22804,10000,1,False
23,22804,10000,2,False
24,25654,10000,0,False
25,25654,10000,1,False
26,25654,10000,2,False
27,28860,10000,0,False
28,28860,10000,1,False
29,28860,10000,2,False
30,32467,10000,0,False
31,32467,10000,1,False
32,32467,10000,2,False
33,36525,10000,0,False
34,36525,10000,1,False
35,36525,10000,2,False
36,41090,10000,0,False
37,41090,10000,1,False
38,41090,10000,2,False
39,46226,10000,0,False
40,46226,10000,1,False
41,46226,10000,2,False
42,52004,10000,0,False
43,52004,10000,1,False
44,52004,10000,2,False
45,58504,10000,0,False
46,58504,10000,1,False
47,58504,10000,2,False
48,65817,10000,0,False
49,65817,10000,1,False
50,65817,10000,2,False
51,74044,10000,0,False
52,74044,10000,1,False
53,74044,10000,2,False
54,83299,10000,0,False
55,83299,10000,1,False
56,83299,10000,2,False
57,93711,10000,0,False
58,93711,10000,1,False
59,93711,10000,2,False
60,105424,10000,0,False
61,105424,10000,1,False
62,105424,10000,2,False
63,118602,10000,0,False
64,118602,10000,1,False
65,118602,10000,2,False
66,133427,10000,0,False
67,133427,10000,1,False
68,133427,10000,2,False
69,150105,10000,0,False
70,150105,10000,1,False
71,150105,10000,2,False
72,168868,10000,0,False
73,168868,10000,1,False
74,168868,10000,2,False
75,189976,10000,0,False
76,189976,10000,1,False
77,189976,10000,2,False
78,213723,10000,0,False
79,213723,10000,1,False
80,213723,10000,2,False
81,240438,10000,0,False
82,240438,10000,1,False
83,240438,10000,2,False
84,270492,10000,0,False
85,270492,10000,1,False
86,270492,10000,2,False
87,304303,10000,0,False
88,304303,10000,1,False
89,304303,10000,2,False
90,342340,10000,0,False
91,342340,10000,1,False
92,342340,10000,2,False
93,385132,10000,0,False
94,385132,10000,1,False
95,385132,10000,2,False
96,433273,10000,0,False
97,433273,10000,1,False
98,433273,10000,2,False
99,487432,10000,0,False
100,487432,10000,1,False
101,487432,10000,2,False
102,548361,10000,0,False
103,548361,10000,1,False
104,548361,10000,2,False
105,616906,10000,0,False
106,616906,10000,1,False
107,616906,10000,2,False
108,694019,10000,0,False
109,694019,10000,1,False
110,694019,10000,2,False
111,780771,10000,0,False
112,780771,10000,1,False
113,780771,10000,2,False
114,878367,10000,0,False
115,878367,10000,1,False
116,878367,10000,2,False
117,988162,10000,0,False
118,988162,10000,1,False
119,988162,10000,2,False
120,1111682,10000,0,False
121,1111682,10000,1,False
122,1111682,10000,2,False
123,1250642,10000,0,False
124,1250642,10000,1,False
125,1250642,10000,2,False
126,1406972,10000,0,False
127,1406972,10000,1,False
128,1406972,10000,2,False
129,1582843,10000,0,False
130,1582843,10000,1,False
131,1582843,10000,2,False
132,1780698,10000,0,False
133,1780698,10000,1,False
134,1780698,10000,2,False
135,2003285,10000,0,False
136,2003285,10000,1,False
137,2003285,10000,2,False
138,2253695,10000,0,False
139,2253695,10000,1,False
140,2253695,10000,2,False
141,2535406,10000,0,False
142,2535406,10000,1,False
143,2535406,10000,2,False
144,2852331,10000,0,False
145,2852331,10000,1,False
146,2852331,10000,2,False
147,3208872,10000,0,False
148,3208872,10000,1,False
149,3208872,10000,2,False
