ratio,compressed_size,uncompressed_size,total_decompression,uncompressed_read,compressed_read,decompress_time
0.490887,49088732,100000000,0.247836,0.057029,0.024229,0.223607
0.490907,73636019,150000000,0.371113,0.073479,0.035952,0.335161
0.490891,98178119,200000000,0.493637,0.09799,0.047755,0.445882
0.490892,122722889,250000000,0.616155,0.121831,0.059303,0.556852
0.490891,147267404,300000000,0.740353,0.145604,0.071123,0.66923
0.490881,171808497,350000000,0.864025,0.169485,0.082836,0.781189
0.490899,196359705,400000000,0.9865,0.192966,0.094479,0.892021
0.490893,220901715,450000000,1.10929,0.217409,0.106217,1.00308
0.490889,245444323,500000000,1.23771,0.244471,0.124213,1.11349
0.490896,269992890,550000000,1.36298,0.268668,0.131165,1.23182
0.490887,294532264,600000000,1.4825,0.290728,0.14231,1.34019
0.490904,319087839,650000000,1.59882,0.313347,0.152467,1.44635
0.490906,343634498,700000000,1.73664,0.339668,0.16507,1.57157
0.490894,368170181,750000000,1.85039,0.361645,0.176805,1.67359
0.490902,392721551,800000000,1.97102,0.389093,0.192094,1.77893
0.490898,417263096,850000000,2.09374,0.421032,0.199464,1.89428
0.490908,441816919,900000000,2.21747,0.441859,0.213343,2.00413
0.490899,466354305,950000000,2.34307,0.460796,0.225651,2.11742
0.490891,490891445,1000000000,2.45939,0.496895,0.234176,2.22522
0.4909,515444619,1050000000,2.58551,0.50191,0.245514,2.33999
0.490904,539994118,1100000000,2.70193,0.535835,0.257326,2.44461
0.4909,564534460,1150000000,2.82606,0.561492,0.269817,2.55625
0.490899,589078347,1200000000,2.94923,0.583359,0.281202,2.66803
0.490896,613619601,1250000000,3.07125,0.606021,0.292307,2.77894
0.490897,638165715,1300000000,3.19689,0.635334,0.304132,2.89276
0.49089,662700999,1350000000,3.32537,0.653619,0.315801,3.00956
0.490895,687253137,1400000000,3.44471,0.680549,0.328187,3.11653
0.490899,711802916,1450000000,3.57305,0.703071,0.341288,3.23177
0.490899,736349085,1500000000,3.69429,0.720643,0.35158,3.34271
0.490898,760892418,1550000000,3.81228,0.744586,0.36322,3.44905
0.490893,785428175,1600000000,3.94122,0.774169,0.374908,3.56631
0.490898,809981885,1650000000,4.06151,0.797595,0.385139,3.67637
0.490902,834534219,1700000000,4.18696,0.815306,0.398702,3.78825
0.490902,859077972,1750000000,4.30392,0.850597,0.409701,3.89422
0.490894,883609428,1800000000,4.43325,0.869142,0.421274,4.01198
0.490894,908154229,1850000000,4.55404,0.887397,0.432007,4.12203
0.4909,932710414,1900000000,4.67673,0.911477,0.443678,4.23305
0.490896,957247649,1950000000,4.78754,0.942473,0.454879,4.33267
0.490901,981801569,2000000000,4.9272,0.968547,0.46836,4.45884
