uncompressed_size,compressed_write,uncompressed_write,compress_time,total_compression
100000000,0.322024,0.33724,0.43261,0.754634
150000000,0.111014,0.146235,0.663311,0.774325
200000000,0.162505,0.196484,0.877227,1.03973
250000000,0.198523,0.240045,1.09525,1.29377
300000000,0.233973,0.303536,1.29804,1.53201
350000000,0.277164,0.341763,1.51291,1.79008
400000000,0.315233,0.392371,1.70697,2.0222
450000000,0.356043,0.446261,1.95097,2.30701
500000000,0.395983,0.487173,2.16245,2.55843
550000000,0.447331,0.540442,2.36306,2.81039
600000000,0.469052,0.589762,2.57641,3.04546
650000000,0.521741,0.635529,2.80311,3.32485
700000000,0.567987,0.692324,3.01498,3.58297
750000000,0.605554,0.747992,3.23225,3.83781
800000000,0.633693,0.814693,3.43632,4.07002
850000000,0.682526,0.870452,3.65959,4.34211
900000000,0.730836,0.912575,3.86675,4.59759
950000000,0.74879,0.960003,4.0771,4.82589
1000000000,0.801747,0.999336,4.29281,5.09456
1050000000,0.841031,1.0607,4.50484,5.34587
1100000000,0.878846,1.12769,4.72766,5.6065
1150000000,0.927275,1.21243,4.94093,5.8682
1200000000,0.954283,1.23941,5.13042,6.08471
1250000000,1.0104,1.30335,5.34774,6.35814
1300000000,1.05148,1.36609,5.57768,6.62916
1350000000,1.0784,1.442,5.79287,6.87127
1400000000,1.13711,1.49894,5.98726,7.12437
1450000000,1.18521,1.52062,6.20161,7.38682
1500000000,1.20447,1.61646,6.42129,7.62577
1550000000,1.26185,1.66329,6.65211,7.91396
1600000000,1.29303,1.75251,6.84154,8.13457
1650000000,1.35367,1.74174,7.06283,8.4165
1700000000,1.37386,1.76722,7.25999,8.63386
1750000000,1.4319,1.87119,7.49574,8.92764
1800000000,1.44762,1.9268,7.69596,9.14357
1850000000,1.52141,1.91673,7.8954,9.41681
1900000000,1.54509,1.97118,8.11345,9.65854
1950000000,1.57304,2.00293,8.32192,9.89496
2000000000,1.63736,2.11834,8.54381,10.1812
