compressed_size,total_compression,ratio,compressed_write,compress_time,uncompressed_write,uncompressed_size
490731,0.007805,0.490731,0.003468,0.004337,0.003678,1000000
736338,0.007562,0.490892,0.001088,0.006474,0.001336,1500000
981818,0.0101,0.490909,0.001475,0.008625,0.001762,2000000
1227202,0.012629,0.490881,0.001828,0.010801,0.002317,2500000
1472860,0.015186,0.490953,0.002219,0.012967,0.002734,3000000
1718418,0.017699,0.490977,0.002586,0.015113,0.003211,3500000
1963448,0.020299,0.490862,0.003052,0.017247,0.003682,4000000
2208856,0.022728,0.490857,0.003364,0.019364,0.004122,4500000
2455132,0.025348,0.491026,0.003792,0.021556,0.004511,5000000
2699718,0.02784,0.490858,0.004161,0.023679,0.004968,5500000
2945412,0.030365,0.490902,0.004556,0.025809,0.005401,6000000
3190446,0.032791,0.490838,0.004853,0.027938,0.005848,6500000
3436484,0.035463,0.490926,0.005347,0.030116,0.006342,7000000
3682377,0.037941,0.490984,0.005673,0.032268,0.006773,7500000
3927438,0.040537,0.49093,0.006111,0.034426,0.007296,8000000
4172796,0.042944,0.490917,0.006403,0.036541,0.007593,8500000
4418100,0.045691,0.4909,0.006983,0.038708,0.008107,9000000
4663490,0.048138,0.490894,0.007404,0.040734,0.008569,9500000
4908910,0.05076,0.490891,0.007857,0.042903,0.009036,10000000
5155814,0.053436,0.49103,0.008341,0.045095,0.009489,10500000
5399780,0.055823,0.490889,0.008606,0.047217,0.009885,11000000
5644936,0.058427,0.490864,0.009098,0.049329,0.010379,11500000
5890846,0.062576,0.490904,0.010049,0.052527,0.010765,12000000
6136136,0.067214,0.490891,0.010463,0.056751,0.011841,12500000
6382757,0.065999,0.490981,0.010195,0.055804,0.011723,13000000
6626874,0.068471,0.49088,0.010508,0.057963,0.012217,13500000
6872883,0.074459,0.49092,0.011515,0.062944,0.012539,14000000
7117484,0.073542,0.490861,0.011278,0.062264,0.01304,14500000
7363111,0.076114,0.490874,0.011723,0.064391,0.01352,15000000
7608310,0.078457,0.490859,0.011967,0.06649,0.013935,15500000
7853146,0.08109,0.490822,0.012475,0.068615,0.014309,16000000
8099394,0.08354,0.490872,0.012831,0.070709,0.014872,16500000
8344839,0.086133,0.490873,0.013267,0.072866,0.01541,17000000
8590777,0.090144,0.490902,0.014151,0.075993,0.015723,17500000
8836278,0.093438,0.490904,0.014016,0.079422,0.017195,18000000
9081773,0.095907,0.490907,0.01423,0.081677,0.017726,18500000
9327294,0.096243,0.49091,0.014692,0.081551,0.017364,19000000
9573990,0.098672,0.490974,0.015037,0.083635,0.017803,19500000
9817903,0.103858,0.490895,0.015379,0.088479,0.018922,20000000
