ratio,compressed_size,uncompressed_size,total_decompression,uncompressed_read,compressed_read,decompress_time
0.675689,67568883,100000000,0.269926,0.050757,0.033803,0.236123
0.675611,101341602,150000000,0.398719,0.076204,0.049445,0.349274
0.675495,135099029,200000000,0.534594,0.099896,0.066311,0.468283
0.675746,168936548,250000000,0.684434,0.125117,0.08422,0.600214
0.675623,202686947,300000000,0.803396,0.148919,0.099456,0.70394
0.675805,236531824,350000000,0.93404,0.174268,0.12014,0.8139
0.675696,270278578,400000000,1.06834,0.195572,0.131714,0.936622
0.675672,304052331,450000000,1.19882,0.220608,0.14801,1.05081
0.675815,337907535,500000000,1.32677,0.24147,0.162493,1.16427
0.675702,371635881,550000000,1.47039,0.2673,0.18018,1.29021
0.675828,405497066,600000000,1.59761,0.295266,0.198396,1.39921
0.675764,439246326,650000000,1.72498,0.321858,0.213822,1.51116
0.675595,472916681,700000000,1.86227,0.342308,0.23189,1.63038
0.675598,506698280,750000000,1.99198,0.363992,0.247479,1.74451
0.675768,540614114,800000000,2.1262,0.391695,0.262305,1.8639
0.675877,574495785,850000000,2.2495,0.410879,0.276064,1.97344
0.675682,608114018,900000000,2.38084,0.433301,0.291594,2.08924
0.67558,641800725,950000000,2.51887,0.462055,0.307617,2.21126
0.675785,675785367,1000000000,2.65226,0.481088,0.323269,2.32899
0.675661,709444031,1050000000,2.78145,0.511807,0.33937,2.44208
0.675613,743174571,1100000000,2.91122,0.537243,0.355185,2.55604
0.675789,777157904,1150000000,3.04687,0.554076,0.371986,2.67488
0.675572,810686204,1200000000,3.17707,0.583439,0.387623,2.78944
0.67578,844725229,1250000000,3.31329,0.623537,0.403775,2.90952
0.675753,878479364,1300000000,3.44108,0.633372,0.418577,3.02251
0.675738,912246293,1350000000,3.57552,0.65184,0.4352,3.14032
0.675823,946152001,1400000000,3.70961,0.676359,0.45157,3.25804
0.675599,979618741,1450000000,3.83896,0.707904,0.467519,3.37144
0.675699,1013548556,1500000000,3.96379,0.72066,0.482373,3.48141
0.675701,1047336003,1550000000,4.10854,0.752481,0.49859,3.60995
0.675766,1081224853,1600000000,4.23639,0.781216,0.518685,3.71771
0.675746,1114981552,1650000000,4.36549,0.798456,0.532473,3.83302
0.675699,1148688274,1700000000,4.49973,0.825119,0.548077,3.95165
0.6758,1182650067,1750000000,4.6366,0.85803,0.563566,4.07304
0.675671,1216208447,1800000000,4.76683,0.876029,0.581449,4.18538
0.675795,1250219852,1850000000,4.89542,0.898716,0.598147,4.29727
0.67574,1283906918,1900000000,5.02704,0.924244,0.613035,4.414
0.675673,1317563042,1950000000,5.16923,0.940035,0.628441,4.54079
0.675662,1351323691,2000000000,5.29648,0.957789,0.645026,4.65146
