uncompressed_size,compressed_write,uncompressed_write,compress_time,total_compression
100000000,0.221115,0.337266,0.573115,0.79423
150000000,0.152201,0.140158,0.868,1.0202
200000000,0.215468,0.185907,1.14319,1.35866
250000000,0.25589,0.233228,1.42241,1.6783
300000000,0.31741,0.278226,1.69717,2.01458
350000000,0.376615,0.330366,1.96874,2.34535
400000000,0.435181,0.385891,2.25134,2.68652
450000000,0.48872,0.424822,2.52957,3.01829
500000000,0.548125,0.490911,2.804,3.35212
550000000,0.602415,0.533723,3.08176,3.68417
600000000,0.658777,0.585598,3.36115,4.01993
650000000,0.716094,0.646402,3.64219,4.35829
700000000,0.769341,0.684101,3.91997,4.68931
750000000,0.827435,0.734441,4.18084,5.00827
800000000,0.876446,0.800021,4.45858,5.33503
850000000,0.939107,0.842307,4.7353,5.67441
900000000,1.00307,0.897404,5.01956,6.02262
950000000,1.05333,0.959179,5.29483,6.34816
1000000000,1.11146,1.01437,5.5606,6.67206
1050000000,1.15697,1.05218,5.81527,6.97224
1100000000,1.20629,1.13824,6.11953,7.32583
1150000000,1.30257,1.20233,6.40049,7.70306
1200000000,1.33407,1.26239,6.67955,8.01362
1250000000,1.39899,1.34384,6.95777,8.35677
1300000000,1.46363,1.3034,7.21851,8.68213
1350000000,1.52784,1.38338,7.49337,9.02122
1400000000,1.58983,1.4856,7.78551,9.37534
1450000000,1.65622,1.56089,8.0624,9.71862
1500000000,1.7245,1.57529,8.33898,10.0635
1550000000,1.74643,1.59158,8.62852,10.3749
1600000000,1.86386,1.57871,8.89331,10.7572
1650000000,1.90427,1.5411,9.14014,11.0444
1700000000,1.90083,1.57792,9.41936,11.3202
1750000000,1.85008,1.61068,9.71778,11.5679
1800000000,1.92384,1.70809,9.96181,11.8856
1850000000,1.99314,1.85852,10.2441,12.2372
1900000000,1.99267,2.1358,10.5145,12.5072
1950000000,2.04394,2.44298,10.8198,12.8637
2000000000,2.07626,2.64736,11.0616,13.1379
