compressed_size,total_compression,ratio,compressed_write,compress_time,uncompressed_write,uncompressed_size
676561,0.008048,0.676561,0.002324,0.005724,0.003703,1000000
1013884,0.010014,0.675923,0.00148,0.008534,0.001354,1500000
1352412,0.013385,0.676206,0.00201,0.011375,0.001792,2000000
1688572,0.016613,0.675429,0.002594,0.014019,0.002288,2500000
2023727,0.019908,0.674576,0.003062,0.016846,0.002738,3000000
2369223,0.023138,0.676921,0.003612,0.019526,0.003207,3500000
2696964,0.026575,0.674241,0.004117,0.022458,0.003615,4000000
3039314,0.029912,0.675403,0.004649,0.025263,0.004064,4500000
3374674,0.0336,0.674935,0.005246,0.028354,0.004547,5000000
3710751,0.03651,0.674682,0.005701,0.030809,0.00499,5500000
4052052,0.039925,0.675342,0.006273,0.033652,0.005444,6000000
4382831,0.044097,0.674282,0.006934,0.037163,0.005909,6500000
4729482,0.046652,0.67564,0.007571,0.039081,0.006387,7000000
5061049,0.050051,0.674807,0.008057,0.041994,0.006795,7500000
5402794,0.053114,0.675349,0.008561,0.044553,0.007241,8000000
5734879,0.056444,0.674692,0.009082,0.047362,0.007629,8500000
6068942,0.062663,0.674327,0.010288,0.052375,0.008121,9000000
6412597,0.063146,0.67501,0.010237,0.052909,0.00856,9500000
6750490,0.067148,0.675049,0.011085,0.056063,0.009335,10000000
7087386,0.069791,0.674989,0.011298,0.058493,0.009432,10500000
7428737,0.073005,0.67534,0.011822,0.061183,0.009832,11000000
7796882,0.07589,0.67799,0.012319,0.063571,0.010318,11500000
8116635,0.079514,0.676386,0.012964,0.06655,0.010719,12000000
8445800,0.082934,0.675664,0.013396,0.069538,0.011284,12500000
8794549,0.086406,0.676504,0.014045,0.072361,0.011595,13000000
9127743,0.090299,0.676129,0.014828,0.075471,0.012398,13500000
9452307,0.092994,0.675165,0.014975,0.078019,0.012561,14000000
9799025,0.095865,0.675795,0.015409,0.080456,0.012885,14500000
10132939,0.099424,0.675529,0.015961,0.083463,0.013486,15000000
10476805,0.102743,0.675923,0.016559,0.086184,0.014003,15500000
10790682,0.106937,0.674418,0.017286,0.089651,0.01459,16000000
11152969,0.109181,0.675938,0.017406,0.091775,0.014755,16500000
11493597,0.11248,0.676094,0.017957,0.094523,0.015301,17000000
11816330,0.116938,0.675219,0.018943,0.097995,0.016112,17500000
12166546,0.119139,0.675919,0.018946,0.100193,0.016142,18000000
12507149,0.129564,0.676062,0.020755,0.108809,0.017648,18500000
12830973,0.125692,0.675314,0.02,0.105692,0.017129,19000000
13166481,0.129319,0.675204,0.020575,0.108744,0.017534,19500000
13509939,0.133408,0.675497,0.021692,0.111716,0.018369,20000000
