keyDistribution,valueDistribution,load_times,query_times,sizes,leniency
0,0,29.8583,11.1094,22544384,1
0,0,29.732,10.888,22544384,1.3
0,0,29.9335,11.0854,22544384,1.6
0,0,29.9085,10.856,22544384,1.9
0,0,29.9051,10.926,22544384,2.2
0,0,29.8292,10.8105,22544384,2.5
0,0,29.8574,10.7851,22544384,2.8
0,0,29.9582,10.7551,22544384,3.1
0,0,29.9366,11.0381,22544384,3.4
0,0,29.8832,10.8254,22544384,3.7
0,0,29.807,11.2656,22544384,4.0
0,1,29.9789,11.451,20711796,1
0,1,29.8007,10.9846,21084552,1.3
0,1,29.8614,12.7613,19511412,1.6
0,1,29.9665,11.3609,20711796,1.9
0,1,29.702,10.6665,21227312,2.2
0,1,29.969,11.2892,20711796,2.5
0,1,30.1458,13.9171,17750924,2.8
0,1,30.0194,14.2005,17306820,3.1
0,1,29.937,13.9737,17235504,3.4
0,1,29.8659,14.2348,17021300,3.7
0,1,29.9079,13.8915,16648560,4.0
1,0,27.8966,10.8123,22459391,1
1,0,27.6213,10.8739,22459391,1.3
1,0,27.7305,10.9229,22459391,1.6
1,0,27.8069,10.9351,22459391,1.9
1,0,27.6213,10.8913,22459391,2.2
1,0,27.5101,10.7967,22459391,2.5
1,0,27.6547,11.0234,22459391,2.8
1,0,27.7529,10.8138,22459391,3.1
1,0,27.5456,10.7975,22459391,3.4
1,0,27.6469,10.879,22459391,3.7
1,0,27.6366,10.8802,22459391,4.0
1,1,26.9047,13.6807,132440,1
1,1,26.974,13.7823,1376,1.3
1,1,26.885,13.8895,1376,1.6
1,1,27.0804,13.7411,1376,1.9
1,1,26.7265,13.8936,132440,2.2
1,1,26.9964,14.07,132440,2.5
1,1,26.8482,13.7435,132440,2.8
1,1,26.8862,13.6079,132440,3.1
1,1,26.9269,13.8199,1376,3.4
1,1,26.8915,13.6905,132440,3.7
1,1,27.0182,13.6603,1376,4.0
2,0,30.0204,11.385,22544384,1
2,0,29.9719,11.3039,22544384,1.3
2,0,29.9876,11.3384,22544384,1.6
2,0,30.0879,11.4024,22544384,1.9
2,0,30.0818,11.4049,22544384,2.2
2,0,30.0042,11.2859,22544384,2.5
2,0,29.9651,11.3131,22544384,2.8
2,0,30.0318,11.3897,22544384,3.1
2,0,29.8638,11.3129,22544384,3.4
2,0,30.0641,11.4065,22544384,3.7
2,0,29.8937,11.3122,22544384,4.0
2,1,29.7938,10.6783,20610848,1
2,1,29.8441,10.7772,20610848,1.3
2,1,29.9694,14.0053,18415164,1.6
2,1,29.7432,10.8084,20610848,1.9
2,1,29.7759,10.7924,20610848,2.2
2,1,29.8838,15.4297,13604984,2.5
2,1,29.7962,14.0443,17871280,2.8
2,1,29.8632,14.4465,17177172,3.1
2,1,29.8493,14.1423,16870516,3.4
2,1,29.9559,14.0585,16176152,3.7
2,1,29.9744,14.169,15864168,4.0
