ratio,compressed_size,uncompressed_size,total_decompression,uncompressed_read,compressed_read,decompress_time
1.00005,100004551,100000000,0.124599,0.050598,0.04867,0.075929
1.00005,150006837,150000000,0.183999,0.073114,0.071483,0.112516
1.00005,200009126,200000000,0.249056,0.10239,0.097165,0.151891
1.00005,250011415,250000000,0.303819,0.126326,0.11866,0.185159
1.00005,300013705,300000000,0.370484,0.147556,0.145208,0.225276
1.00005,350015994,350000000,0.429094,0.16751,0.166521,0.262573
1.00005,400018283,400000000,0.490305,0.195847,0.193901,0.296404
1.00005,450020572,450000000,0.551889,0.218124,0.218631,0.333258
1.00005,500022861,500000000,0.611038,0.248045,0.241157,0.369881
1.00005,550025150,550000000,0.670418,0.267414,0.26419,0.406228
1.00005,600027439,600000000,0.733046,0.287404,0.285925,0.447121
1.00005,650029728,650000000,0.78878,0.310693,0.30905,0.47973
1.00005,700032017,700000000,0.852408,0.334658,0.33336,0.519048
1.00005,750034306,750000000,0.914439,0.363658,0.358904,0.555535
1.00005,800036595,800000000,0.986313,0.381869,0.383972,0.602341
1.00005,850038881,850000000,1.03394,0.410614,0.405835,0.62811
1.00005,900041170,900000000,1.09492,0.44091,0.428191,0.666733
1.00005,950043459,950000000,1.15658,0.46136,0.45257,0.704008
1.00005,1000045748,1000000000,1.22779,0.487315,0.477432,0.750353
1.00005,1050048037,1050000000,1.28776,0.502424,0.49954,0.788222
1.00005,1100050326,1100000000,1.33589,0.527246,0.52487,0.811025
1.00005,1150052615,1150000000,1.39921,0.557294,0.550575,0.848639
1.00005,1200054904,1200000000,1.46033,0.575684,0.573719,0.88661
1.00005,1250057193,1250000000,1.52379,0.598861,0.596245,0.927543
1.00005,1300059482,1300000000,1.58359,0.63141,0.624769,0.958816
1.00005,1350061771,1350000000,1.64847,0.658024,0.649522,0.998951
1.00005,1400064060,1400000000,1.70442,0.677644,0.670276,1.03415
1.00005,1450066349,1450000000,1.76462,0.710893,0.692441,1.07218
1.00005,1500068638,1500000000,1.84108,0.731438,0.723189,1.11789
1.00005,1550070927,1550000000,1.89208,0.748977,0.741654,1.15043
1.00005,1600073216,1600000000,1.94495,0.778714,0.762181,1.18277
1.00005,1650075504,1650000000,2.01225,0.797436,0.791709,1.22054
1.00005,1700077791,1700000000,2.06787,0.826748,0.81113,1.25674
1.00005,1750080080,1750000000,2.13188,0.845883,0.835461,1.29642
1.00005,1800082369,1800000000,2.20444,0.879212,0.858024,1.34642
1.00005,1850084658,1850000000,2.25339,0.891202,0.889113,1.36428
1.00005,1900086947,1900000000,2.33004,0.921082,0.906656,1.42339
1.00005,1950089236,1950000000,2.37168,0.942952,0.930993,1.44068
1.00005,2000091525,2000000000,2.43027,0.966123,0.954179,1.47609
