compressed_size,total_compression,ratio,compressed_write,compress_time,uncompressed_write,uncompressed_size
1000044,0.002325,1.00004,0.001491,0.000834,0.003718,1000000
1500061,0.003468,1.00004,0.002212,0.001256,0.001358,1500000
2000081,0.004668,1.00004,0.002999,0.001669,0.001835,2000000
2500102,0.00585,1.00004,0.003726,0.002124,0.002265,2500000
3000119,0.007047,1.00004,0.004494,0.002553,0.002719,3000000
3500139,0.008307,1.00004,0.005279,0.003028,0.00318,3500000
4000159,0.009544,1.00004,0.006073,0.003471,0.003643,4000000
4500179,0.011323,1.00004,0.007226,0.004097,0.004056,4500000
5000203,0.012699,1.00004,0.00812,0.004579,0.004522,5000000
5500224,0.013496,1.00004,0.008696,0.0048,0.004972,5500000
6000248,0.01537,1.00004,0.009932,0.005438,0.005466,6000000
6500272,0.01667,1.00004,0.010832,0.005838,0.005835,6500000
7000293,0.017848,1.00004,0.011545,0.006303,0.006384,7000000
7500317,0.019053,1.00004,0.012336,0.006717,0.006795,7500000
8000341,0.019751,1.00004,0.0128,0.006951,0.007286,8000000
8500362,0.020935,1.00004,0.013465,0.00747,0.007627,8500000
9000386,0.021946,1.00004,0.014164,0.007782,0.008056,9000000
9500407,0.023353,1.00004,0.015099,0.008254,0.008538,9500000
10000431,0.024512,1.00004,0.015798,0.008714,0.008973,10000000
10500455,0.026621,1.00004,0.01711,0.009511,0.009368,10500000
11000476,0.02777,1.00004,0.017836,0.009934,0.009842,11000000
11500500,0.028235,1.00004,0.018238,0.009997,0.010252,11500000
12000524,0.02925,1.00004,0.018786,0.010464,0.010638,12000000
12500545,0.030673,1.00004,0.019785,0.010888,0.011172,12500000
13000569,0.031508,1.00004,0.020286,0.011222,0.011621,13000000
13500590,0.034918,1.00004,0.021881,0.013037,0.012053,13500000
14000614,0.034152,1.00004,0.022046,0.012106,0.012483,14000000
14500638,0.037024,1.00004,0.023297,0.013727,0.012856,14500000
15000659,0.037412,1.00004,0.023584,0.013828,0.013346,15000000
15500683,0.038305,1.00004,0.02415,0.014155,0.01378,15500000
16000707,0.039291,1.00004,0.025094,0.014197,0.014259,16000000
16500728,0.040241,1.00004,0.025931,0.01431,0.014602,16500000
17000752,0.04257,1.00004,0.027229,0.015341,0.015272,17000000
17500776,0.044565,1.00004,0.028256,0.016309,0.015713,17500000
18000797,0.04548,1.00004,0.028956,0.016524,0.016147,18000000
18500821,0.044961,1.00004,0.028965,0.015996,0.016609,18500000
19000842,0.046417,1.00004,0.029939,0.016478,0.017542,19000000
19500866,0.047707,1.00004,0.030527,0.01718,0.017386,19500000
20000890,0.048632,1.00004,0.031272,0.01736,0.017834,20000000
