row,size,numberQueries,dataDistribution,compressedTimes,uncompressedTimes,y
0,10000,10000,0,4.2148,4.23889,True
1,10000,10000,1,2.83487,2.88013,True
2,10000,10000,2,4.2321,4.22014,False
3,40000,10000,0,15.9216,15.6549,False
4,40000,10000,1,3.27905,3.22872,False
5,40000,10000,2,15.7539,15.7213,False
6,40000,10000,0,15.6263,15.6614,True
7,40000,10000,1,3.18763,3.25164,True
8,40000,10000,2,15.7805,15.815,True
9,40000,10000,0,16.1798,16.0564,False
10,40000,10000,1,3.33503,3.26734,False
11,40000,10000,2,15.8779,16.1586,True
12,70000,10000,0,22.2825,21.8603,False
13,70000,10000,1,3.42806,3.50497,True
14,70000,10000,2,21.8135,21.6866,False
15,70000,10000,0,21.7492,21.9302,True
16,70000,10000,1,3.46113,3.44488,False
17,70000,10000,2,21.4829,21.6652,True
18,70000,10000,0,21.7735,21.7791,True
19,70000,10000,1,3.45762,3.52615,True
20,70000,10000,2,21.8194,21.5764,False
21,70000,10000,0,21.7873,21.661,False
22,70000,10000,1,3.44076,3.51404,True
23,70000,10000,2,21.9022,21.9928,True
24,70000,10000,0,22.0422,21.7268,False
25,70000,10000,1,3.45203,3.46864,True
26,70000,10000,2,21.5842,21.832,True
27,70000,10000,0,21.5539,21.8771,True
28,70000,10000,1,3.47583,3.5025,True
29,70000,10000,2,21.7845,21.7928,True
30,70000,10000,0,21.5638,21.7598,True
31,70000,10000,1,3.39974,3.48507,True
32,70000,10000,2,21.7058,21.843,True
33,70000,10000,0,21.6012,21.6696,True
34,70000,10000,1,3.39885,3.52003,True
35,70000,10000,2,21.5606,21.6865,True
36,70000,10000,0,21.784,21.7119,False
37,70000,10000,1,3.51161,3.51333,True
38,70000,10000,2,21.8744,21.7429,False
39,100000,10000,0,16.9645,17.2402,True
40,100000,10000,1,3.44396,3.48816,True
41,100000,10000,2,17.0607,17.13,True
42,100000,10000,0,16.8586,17.207,True
43,100000,10000,1,3.50458,3.4175,False
44,100000,10000,2,17.0863,16.9419,False
45,100000,10000,0,16.9384,17.3689,True
46,100000,10000,1,3.45142,3.41713,False
47,100000,10000,2,17.0592,16.8821,False
48,100000,10000,0,17.0303,16.9345,False
49,100000,10000,1,3.497,3.48252,False
50,100000,10000,2,17.0443,17.4318,True
51,100000,10000,0,17.2038,17.2269,True
52,100000,10000,1,3.42939,3.49493,True
53,100000,10000,2,16.8868,16.9023,True
54,100000,10000,0,16.8286,17.1923,True
55,100000,10000,1,3.51384,3.55258,True
56,100000,10000,2,17.0521,16.9621,False
57,100000,10000,0,16.94,16.8834,False
58,100000,10000,1,3.44749,3.51861,True
59,100000,10000,2,16.8706,16.8471,False
60,100000,10000,0,17.0593,16.9981,False
61,100000,10000,1,3.44888,3.67482,True
62,100000,10000,2,16.8099,16.8705,True
63,100000,10000,0,16.831,16.8487,True
64,100000,10000,1,3.44292,3.43194,False
65,100000,10000,2,16.8104,17.0361,True
66,100000,10000,0,16.8284,16.8776,True
67,100000,10000,1,3.44861,3.53282,True
68,100000,10000,2,17.0095,16.8845,False
69,100000,10000,0,17.0019,17.0976,True
70,100000,10000,1,3.45288,3.43259,False
71,100000,10000,2,17.0118,16.9429,False
