ratio,compressed_size,uncompressed_size,total_decompression,uncompressed_read,compressed_read,decompress_time
0.0469513,4695134,100000000,0.09308,0.047771,0.002253,0.090827
0.0469513,7042699,150000000,0.139636,0.071379,0.003335,0.136301
0.0469513,9390264,200000000,0.18702,0.095236,0.004465,0.182555
0.0469513,11737829,250000000,0.234316,0.118944,0.005559,0.228757
0.0469513,14085395,300000000,0.279604,0.142461,0.006675,0.272929
0.0469513,16432960,350000000,0.32667,0.166173,0.00792,0.31875
0.0469513,18780525,400000000,0.373154,0.201815,0.008948,0.364206
0.0469513,21128090,450000000,0.419294,0.213745,0.010045,0.409249
0.0469513,23475655,500000000,0.466868,0.239173,0.011162,0.455706
0.0469513,25823220,550000000,0.512523,0.260898,0.012214,0.500309
0.0469513,28170785,600000000,0.558922,0.284583,0.013519,0.545403
0.0469513,30518350,650000000,0.605662,0.307758,0.014474,0.591188
0.0469513,32865915,700000000,0.652912,0.332738,0.015751,0.637161
0.0469513,35213480,750000000,0.69943,0.357152,0.016794,0.682636
0.0469513,37561045,800000000,0.746347,0.379995,0.017902,0.728445
0.0469513,39908605,850000000,0.792456,0.40408,0.019049,0.773407
0.0469513,42256170,900000000,0.839551,0.427464,0.020099,0.819452
0.0469513,44603735,950000000,0.884736,0.453084,0.021171,0.863565
0.0469513,46951300,1000000000,0.932093,0.475764,0.022372,0.909721
0.0469513,49298865,1050000000,0.978326,0.498438,0.023567,0.954759
0.0469513,51646430,1100000000,1.025,0.52656,0.024721,1.00028
0.0469513,53993995,1150000000,1.07001,0.549305,0.02566,1.04435
0.0469513,56341560,1200000000,1.11761,0.575756,0.026951,1.09066
0.0469513,58689125,1250000000,1.1667,0.597044,0.027982,1.13872
0.0469513,61036690,1300000000,1.21089,0.621308,0.029147,1.18174
0.0469513,63384255,1350000000,1.25736,0.644244,0.030239,1.22712
0.0469513,65731820,1400000000,1.31303,0.669865,0.031344,1.28168
0.0469513,68079385,1450000000,1.35233,0.69255,0.032392,1.31994
0.0469513,70426950,1500000000,1.39993,0.717892,0.034031,1.3659
0.0469513,72774515,1550000000,1.44295,0.740743,0.034675,1.40827
0.0469513,75122080,1600000000,1.49191,0.764677,0.035657,1.45625
0.0469513,77469646,1650000000,1.53959,0.79374,0.037187,1.50241
0.0469513,79817205,1700000000,1.58486,0.81464,0.038053,1.54681
0.0469513,82164770,1750000000,1.63019,0.837132,0.039163,1.59103
0.0469513,84512335,1800000000,1.67873,0.859551,0.043693,1.63504
0.0469513,86859900,1850000000,1.72157,0.886168,0.041435,1.68014
0.0469513,89207465,1900000000,1.76741,0.910425,0.042457,1.72495
0.0469513,91555030,1950000000,1.81356,0.92959,0.043555,1.77
0.0469513,93902595,2000000000,1.86109,0.960147,0.044684,1.81641
