uncompressed_size,compressed_write,uncompressed_write,compress_time,total_compression
100000000,0.015181,0.097296,0.07792,0.093101
150000000,0.01056,0.121977,0.126952,0.137512
200000000,0.013865,0.166054,0.16466,0.178525
250000000,0.017892,0.212743,0.21018,0.228072
300000000,0.021226,0.262885,0.250488,0.271714
350000000,0.024607,0.309563,0.289299,0.313906
400000000,0.027891,0.357139,0.318928,0.346819
450000000,0.032392,0.404583,0.365824,0.398216
500000000,0.035934,0.455672,0.395564,0.431498
550000000,0.038784,0.50343,0.44549,0.484274
600000000,0.044174,0.558156,0.47153,0.515704
650000000,0.048614,0.615195,0.502349,0.550963
700000000,0.049027,0.64955,0.555724,0.604751
750000000,0.052717,0.70114,0.589324,0.642041
800000000,0.055907,0.756502,0.626128,0.682035
850000000,0.059437,0.808839,0.677188,0.736625
900000000,0.06333,0.869364,0.684254,0.747584
950000000,0.066666,0.917494,0.748891,0.815557
1000000000,0.070515,0.959649,0.782861,0.853376
1050000000,0.073365,1.01386,0.826822,0.900187
1100000000,0.076983,1.0708,0.859061,0.936044
1150000000,0.081342,1.14204,0.902411,0.983753
1200000000,0.084346,1.20157,0.938066,1.02241
1250000000,0.08782,1.24509,0.96072,1.04854
1300000000,0.091002,1.27333,1.0135,1.1045
1350000000,0.094748,1.34498,1.05313,1.14787
1400000000,0.098711,1.4159,1.08983,1.18854
1450000000,0.102589,1.44806,1.12621,1.2288
1500000000,0.106159,1.52179,1.16682,1.27298
1550000000,0.11011,1.57986,1.20636,1.31647
1600000000,0.113526,1.63322,1.2277,1.34123
1650000000,0.115621,1.66857,1.26749,1.38311
1700000000,0.12054,1.73265,1.31442,1.43496
1750000000,0.123294,1.77631,1.35578,1.47908
1800000000,0.127635,1.79157,1.39274,1.52038
1850000000,0.129853,1.97999,1.42656,1.55642
1900000000,0.134691,1.90015,1.46456,1.59925
1950000000,0.138363,2.00457,1.50009,1.63845
2000000000,0.140496,2.12419,1.54731,1.68781
