compressed_size,total_compression,ratio,compressed_write,compress_time,uncompressed_write,uncompressed_size
323931,0.005896,0.323931,0.00248,0.003416,0.003697,1000000
485121,0.00584,0.323414,0.000745,0.005095,0.001334,1500000
648003,0.007761,0.324001,0.001008,0.006753,0.00178,2000000
808048,0.009674,0.323219,0.0012,0.008474,0.002229,2500000
970660,0.011638,0.323553,0.001554,0.010084,0.00274,3000000
1130846,0.01351,0.323099,0.001718,0.011792,0.003138,3500000
1293163,0.015432,0.323291,0.001974,0.013458,0.003651,4000000
1454822,0.017367,0.323294,0.002218,0.015149,0.003987,4500000
1617957,0.019303,0.323591,0.002496,0.016807,0.004484,5000000
1780719,0.021253,0.323767,0.002732,0.018521,0.004985,5500000
1941762,0.023505,0.323627,0.003329,0.020176,0.005431,6000000
2101366,0.025077,0.323287,0.003245,0.021832,0.005918,6500000
2264162,0.026992,0.323452,0.003467,0.023525,0.006306,7000000
2426738,0.028895,0.323565,0.003733,0.025162,0.006844,7500000
2590153,0.030902,0.323769,0.004003,0.026899,0.007278,8000000
2749698,0.032723,0.323494,0.004211,0.028512,0.00761,8500000
2912616,0.034755,0.323624,0.004453,0.030302,0.008059,9000000
3073145,0.036636,0.323489,0.004734,0.031902,0.008559,9500000
3233373,0.038746,0.323337,0.005074,0.033672,0.009018,10000000
3396209,0.040525,0.323448,0.005271,0.035254,0.009441,10500000
3557552,0.042296,0.323414,0.005447,0.036849,0.009866,11000000
3720042,0.044514,0.323482,0.00587,0.038644,0.010322,11500000
3882759,0.046176,0.323563,0.005946,0.04023,0.010862,12000000
4044411,0.048554,0.323553,0.006399,0.042155,0.011539,12500000
4202707,0.050309,0.323285,0.00674,0.043569,0.011722,13000000
4367433,0.052614,0.323514,0.007127,0.045487,0.01238,13500000
4528610,0.054245,0.323472,0.007195,0.04705,0.012608,14000000
4690878,0.056609,0.323509,0.007713,0.048896,0.013378,14500000
4853976,0.057988,0.323598,0.007739,0.050249,0.013692,15000000
5013375,0.060036,0.323444,0.008029,0.052007,0.013987,15500000
5171504,0.061972,0.323219,0.008404,0.053568,0.014572,16000000
5338284,0.063687,0.323532,0.008528,0.055159,0.014891,16500000
5497594,0.065562,0.323388,0.008707,0.056855,0.015454,17000000
5661295,0.067475,0.323503,0.008979,0.058496,0.015913,17500000
5823978,0.069432,0.323554,0.009196,0.060236,0.016389,18000000
5984115,0.071522,0.323466,0.009421,0.062101,0.016665,18500000
6149015,0.073355,0.323632,0.009782,0.063573,0.01714,19000000
6308329,0.075233,0.323504,0.009966,0.065267,0.017652,19500000
6464426,0.077117,0.323221,0.010311,0.066806,0.018199,20000000
