KV Pairs,Num Reads,Num Writes,Data Distribution,Number Trials,Compression Scheme,Avg. Time
1000,7.0,3.0,uniformKey,2,kNoCompression,0.00011750000000000001
1000,7.0,3.0,uniformKey,2,kSnappyCompression,0.0001475
1000,7.0,3.0,uniformKey,2,kZlibCompression,0.000152
1000,7.0,3.0,uniformKey,2,kBZip2Compression,0.00014199999999999998
1000,7.0,3.0,uniformKey,2,kLZ4Compression,0.0021945000000000003
1000,7.0,3.0,uniformKey,2,kLZ4HCCompression,0.0001775
1000,7.0,3.0,uniformKey,2,kXpressCompression,0.00019700000000000002
1000,7.0,3.0,uniformKey,2,kZSTD,0.0001805
1000,7.0,3.0,sequentialKey,2,kNoCompression,9.099999999999999e-05
1000,7.0,3.0,sequentialKey,2,kSnappyCompression,0.00011200000000000001
1000,7.0,3.0,sequentialKey,2,kZlibCompression,9.9e-05
1000,7.0,3.0,sequentialKey,2,kBZip2Compression,8.35e-05
1000,7.0,3.0,sequentialKey,2,kLZ4Compression,8.950000000000001e-05
1000,7.0,3.0,sequentialKey,2,kLZ4HCCompression,0.0001045
1000,7.0,3.0,sequentialKey,2,kXpressCompression,0.00011650000000000001
1000,7.0,3.0,sequentialKey,2,kZSTD,0.0001115
1000,7.0,3.0,normalKey,2,kNoCompression,0.0021660000000000004
1000,7.0,3.0,normalKey,2,kSnappyCompression,0.00017
1000,7.0,3.0,normalKey,2,kZlibCompression,0.0001685
1000,7.0,3.0,normalKey,2,kBZip2Compression,0.0001335
1000,7.0,3.0,normalKey,2,kLZ4Compression,0.00012849999999999998
1000,7.0,3.0,normalKey,2,kLZ4HCCompression,0.0001515
1000,7.0,3.0,normalKey,2,kXpressCompression,0.0001765
1000,7.0,3.0,normalKey,2,kZSTD,0.002176
